group,taxon_name,reference_taxa,mean_density_distinctiveness
colour,Cirsium vulgare,53,0.44450395035238255
colour,Cirsium wheeleri,53,0.47198679334221005
outline,Cirsium acaulon,53,0.362984203584962
outline,Cirsium altissimum,53,0.3113423136123922
outline,Cirsium andersonii,53,0.4135813376924402
outline,Cirsium arizonicum,53,0.41910149137197
outline,Cirsium arvense,53,0.31294720310923047
outline,Cirsium brevistylum,53,0.35878538323194964
outline,Cirsium canescens,53,0.30979028826887217
outline,Cirsium canum,53,0.34314265477253747
outline,Cirsium carolinianum,53,0.3107755381898432
outline,Cirsium ciliatum,53,0.28167419772089686
outline,Cirsium cymosum,53,0.32807554468550076
outline,Cirsium discolor,53,0.2997036878407258
outline,Cirsium dissectum,53,0.3694315060170947
outline,Cirsium drummondii,53,0.3159811962601234
outline,Cirsium echinus,53,0.2955800344437519
outline,Cirsium edule,53,0.3070658597245129
outline,Cirsium ehrenbergii,53,0.34213458079380005
outline,Cirsium erisithales,53,0.31600395546358356
outline,Cirsium esculentum,53,0.37027136335986904
outline,Cirsium filipendulum,53,0.29456659781650796
outline,Cirsium flodmanii,53,0.31504625955964866
outline,Cirsium helenioides,53,0.3208648219633864
outline,Cirsium heterophyllum,53,0.33518822469306325
outline,Cirsium hookerianum,53,0.31671973898982486
outline,Cirsium horridulum,53,0.32788958702752097
outline,Cirsium japonicum,53,0.3101721667473336
outline,Cirsium kamtschaticum,53,0.3131855994795683
outline,Cirsium mexicanum,53,0.302336277330119
outline,Cirsium monspessulanum,53,0.3090468002430678
outline,Cirsium muticum,53,0.31380218310965347
outline,Cirsium neomexicanum,53,0.3187550704226613
outline,Cirsium nuttallii,53,0.31144146281296997
outline,Cirsium obvallatum,53,0.3424130634185695
outline,Cirsium occidentale,53,0.3103748000777389
outline,Cirsium ochrocentrum,53,0.33374010054379954
outline,Cirsium oleraceum,53,0.3450838101626928
outline,Cirsium palustre,53,0.3295255039922028
outline,Cirsium pannonicum,53,0.44744728135998535
outline,Cirsium parryi,53,0.33088206061147757
outline,Cirsium pumilum,53,0.3387051532500636
outline,Cirsium repandum,53,0.3123078859712338
outline,Cirsium rhaphilepis,53,0.30622405000224734
outline,Cirsium rivulare,53,0.309954739335062
outline,Cirsium scariosum,53,0.3310452340626022
outline,Cirsium serratuloides,53,0.3014042541193698
outline,Cirsium serrulatum,53,0.3057020415225738
outline,Cirsium spinosissimum,53,0.3674476565282994
outline,Cirsium subcoriaceum,53,0.32155070575689215
outline,Cirsium texanum,53,0.34091072772783126
outline,Cirsium tuberosum,53,0.34755331269745154
outline,Cirsium ukranicum,53,0.2910264548141617
outline,Cirsium undulatum,53,0.31765335391279065
outline,Cirsium vulgare,53,0.31034987829817656
outline,Cirsium wheeleri,53,0.3017441029059132
involucre,Cirsium arvense,5,0.37360022962902983
involucre,Cirsium discolor,5,0.3648463552401159
involucre,Cirsium heterophyllum,5,0.3761468592636941
involucre,Cirsium oleraceum,5,0.3967280336713984
involucre,Cirsium palustre,5,0.37140210600716095
involucre,Cirsium vulgare,5,0.3646502477587491
whole,Cirsium arvense,4,0.5358926605516139
whole,Cirsium heterophyllum,4,0.5747465984670352
whole,Cirsium oleraceum,4,0.6575828453541545
whole,Cirsium palustre,4,0.5584826149898816
whole,Cirsium vulgare,4,0.520094117299651
