group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium brevistylum,Cirsium spinosissimum,1.0,0.900124970708377
orientation,Cirsium brevistylum,Cirsium spinosissimum,1.25,0.924822094225488
orientation,Cirsium canescens,Cirsium carolinianum,0.75,0.8360378335331206
orientation,Cirsium canescens,Cirsium carolinianum,1.0,0.8559339684037962
orientation,Cirsium canescens,Cirsium carolinianum,1.25,0.8750781377978428
orientation,Cirsium canescens,Cirsium ehrenbergii,0.75,0.7620115873978142
orientation,Cirsium canescens,Cirsium ehrenbergii,1.0,0.7745479640808861
orientation,Cirsium canescens,Cirsium ehrenbergii,1.25,0.7853654048007168
orientation,Cirsium canescens,Cirsium flodmanii,0.75,0.840519330038586
orientation,Cirsium canescens,Cirsium flodmanii,1.0,0.8588357684717991
orientation,Cirsium canescens,Cirsium flodmanii,1.25,0.877211795465369
orientation,Cirsium canescens,Cirsium tuberosum,0.75,0.8864344335793571
orientation,Cirsium canescens,Cirsium tuberosum,1.0,0.8976296573809742
orientation,Cirsium canescens,Cirsium tuberosum,1.25,0.9055322972927532
orientation,Cirsium canum,Cirsium nuttallii,0.75,0.8462633474247281
orientation,Cirsium canum,Cirsium nuttallii,1.0,0.886192898570239
orientation,Cirsium canum,Cirsium nuttallii,1.25,0.9115703910634417
orientation,Cirsium canum,Cirsium wheeleri,0.75,0.8514538448704349
orientation,Cirsium canum,Cirsium wheeleri,1.0,0.8705391017339456
orientation,Cirsium canum,Cirsium wheeleri,1.25,0.8839172514239487
orientation,Cirsium carolinianum,Cirsium muticum,0.75,0.8251660872446498
orientation,Cirsium carolinianum,Cirsium muticum,1.0,0.86152446849975
orientation,Cirsium carolinianum,Cirsium muticum,1.25,0.8842251850657095
orientation,Cirsium ciliatum,Cirsium hookerianum,0.75,0.8075715982595191
orientation,Cirsium ciliatum,Cirsium hookerianum,1.0,0.8279646186411078
orientation,Cirsium ciliatum,Cirsium hookerianum,1.25,0.8441589371379284
orientation,Cirsium cymosum,Cirsium drummondii,0.75,0.8638031548722452
orientation,Cirsium cymosum,Cirsium drummondii,1.0,0.8823479476084632
orientation,Cirsium cymosum,Cirsium drummondii,1.25,0.8956192346175026
orientation,Cirsium cymosum,Cirsium erisithales,0.75,0.6961381337231313
orientation,Cirsium cymosum,Cirsium erisithales,1.0,0.7106643838286136
orientation,Cirsium cymosum,Cirsium erisithales,1.25,0.7276085765801807
orientation,Cirsium cymosum,Cirsium pannonicum,0.75,0.6663665061982063
orientation,Cirsium cymosum,Cirsium pannonicum,1.0,0.6936552982469265
orientation,Cirsium cymosum,Cirsium pannonicum,1.25,0.7127823042381065
orientation,Cirsium cymosum,Cirsium tuberosum,0.75,0.7438841180595239
orientation,Cirsium cymosum,Cirsium tuberosum,1.0,0.7590394988723245
orientation,Cirsium cymosum,Cirsium tuberosum,1.25,0.7724958036169096
orientation,Cirsium discolor,Cirsium horridulum,0.75,0.8771157018314144
orientation,Cirsium discolor,Cirsium horridulum,1.0,0.8936873707547236
orientation,Cirsium discolor,Cirsium horridulum,1.25,0.9052131654725524
orientation,Cirsium discolor,Cirsium kamtschaticum,0.75,0.7882916793460564
orientation,Cirsium discolor,Cirsium kamtschaticum,1.0,0.8069988666592529
