scope,scale,module_contrast,mean_within_module_strength,mean_between_module_strength,module_label_permutation_p
complete18_min5,within_taxon,0.1645023304673242,0.24014233821720915,0.07564000774988494,0.0012998700129987
complete18_min5,among_taxon,0.08847536372583811,0.27360537497661863,0.18513001125078052,0.019198080191980802
complete18_min2,within_taxon,0.15768784945046527,0.23197152287156966,0.0742836734211044,0.0018998100189981002
complete18_min2,among_taxon,0.08366242420240788,0.2256877131375473,0.1420252889351394,0.018698130186981302
