scope,min_complete_observations_per_taxon,n_complete_observations,n_taxa,n_endpoints,n_inferential_units,within_module_contrast,within_module_contrast_bootstrap_ci95_low,within_module_contrast_bootstrap_ci95_high,among_module_contrast,among_module_contrast_bootstrap_ci95_low,among_module_contrast_bootstrap_ci95_high,cross_scale_strength_matrix_spearman,cross_scale_spearman_bootstrap_ci95_low,cross_scale_spearman_bootstrap_ci95_high,cross_scale_trait_label_permutation_p,bootstrap_successful_replicates
complete18_min5,5,1734,42,18,17,0.1645023304673242,0.13069290048765084,0.17947546563629654,0.08847536372583811,0.024941559467982502,0.126170703927081,0.36629931778064023,0.11845701540957014,0.3998165640952244,0.00029997000299970003,1000
complete18_min2,2,1825,75,18,17,0.15768784945046527,0.12125665895129967,0.17959283091455064,0.08366242420240788,0.03836447234528521,0.11510228365765354,0.37727207671389723,0.14551774724488337,0.4393948284910071,9.999000099990002e-05,1000
