scope,scale,component,eigenvalue,variance_fraction,cumulative_variance
complete18_min5,within_taxon,1,3.535295118849077,0.1964052843805043,0.1964052843805043
complete18_min5,within_taxon,2,2.1091335510867717,0.11717408617148733,0.31357937055199164
complete18_min5,within_taxon,3,1.6635444820372067,0.09241913789095595,0.4059985084429476
complete18_min5,within_taxon,4,1.465602719927166,0.081422373329287,0.48742088177223464
complete18_min5,within_taxon,5,1.220108911840934,0.06778382843560746,0.5552047102078421
complete18_min5,within_taxon,6,1.095596724398179,0.060866484688787734,0.6160711948966299
complete18_min5,within_taxon,7,1.0308339852144566,0.05726855473413649,0.6733397496307664
complete18_min5,within_taxon,8,0.9441138111429447,0.05245076728571916,0.7257905169164856
complete18_min5,within_taxon,9,0.8823732340686723,0.04902073522603736,0.7748112521425229
complete18_min5,within_taxon,10,0.8050298571111346,0.0447238809506186,0.8195351330931415
complete18_min5,within_taxon,11,0.7880368371849326,0.04377982428805182,0.8633149573811933
complete18_min5,within_taxon,12,0.6972430255955754,0.03873572364419864,0.902050681025392
complete18_min5,within_taxon,13,0.5558432320629595,0.03088017955905331,0.9329308605844453
complete18_min5,within_taxon,14,0.47070289251070624,0.02615016069503924,0.9590810212794846
complete18_min5,within_taxon,15,0.36186054196422207,0.020103363442456786,0.9791843847219414
complete18_min5,within_taxon,16,0.16888356404764435,0.009382420224869133,0.9885668049468105
complete18_min5,within_taxon,17,0.14567088260498431,0.008092826811388018,0.9966596317581985
complete18_min5,within_taxon,18,0.06012662835242873,0.003340368241801597,1.0
complete18_min5,among_taxon,1,3.967213485482201,0.22040074919345562,0.22040074919345562
complete18_min5,among_taxon,2,2.895411410005417,0.1608561894447454,0.381256938638201
complete18_min5,among_taxon,3,2.166985980644362,0.1203881100357979,0.5016450486739988
complete18_min5,among_taxon,4,1.8890343652178,0.10494635362321111,0.60659140229721
complete18_min5,among_taxon,5,1.3475791634909404,0.07486550908283002,0.6814569113800399
complete18_min5,among_taxon,6,1.180493637728713,0.06558297987381739,0.7470398912538574
complete18_min5,among_taxon,7,1.0148971566651228,0.0563831753702846,0.803423066624142
complete18_min5,among_taxon,8,0.8411245636801005,0.04672914242667225,0.8501522090508142
complete18_min5,among_taxon,9,0.58375026955563,0.032430570530868334,0.8825827795816825
complete18_min5,among_taxon,10,0.5211807044528431,0.028954483580713508,0.911537263162396
complete18_min5,among_taxon,11,0.3700423580322055,0.02055790877956697,0.932095171941963
complete18_min5,among_taxon,12,0.3145276199347918,0.017473756663043988,0.949568928605007
complete18_min5,among_taxon,13,0.2591175158659062,0.0143954175481059,0.9639643461531129
complete18_min5,among_taxon,14,0.21385305068790003,0.011880725038216668,0.9758450711913296
complete18_min5,among_taxon,15,0.18691077013496388,0.01038393167416466,0.9862290028654942
complete18_min5,among_taxon,16,0.11968285167484391,0.006649047315269106,0.9928780501807632
complete18_min5,among_taxon,17,0.08880221437862446,0.0049334563543680255,0.9978115065351313
complete18_min5,among_taxon,18,0.03939288236763421,0.0021884934648685674,0.9999999999999999
complete18_min2,within_taxon,1,3.5204644356785284,0.19558135753769607,0.19558135753769607
complete18_min2,within_taxon,2,2.049775011512927,0.11387638952849596,0.309457747066192
complete18_min2,within_taxon,3,1.686615812110789,0.0937008784505994,0.4031586255167914
complete18_min2,within_taxon,4,1.3904729679625194,0.07724849822013999,0.4804071237369314
complete18_min2,within_taxon,5,1.3017157810684112,0.07231754339268953,0.5527246671296209
complete18_min2,within_taxon,6,1.1354927027119595,0.06308292792844221,0.615807595058063
complete18_min2,within_taxon,7,1.0820373113786717,0.06011318396548177,0.6759207790235449
complete18_min2,within_taxon,8,1.0166624547557177,0.05648124748642877,0.7324020265099737
complete18_min2,within_taxon,9,0.8625618552268127,0.04792010306815627,0.78032212957813
complete18_min2,within_taxon,10,0.8271517675262142,0.04595287597367858,0.8262750055518086
complete18_min2,within_taxon,11,0.8013637807823619,0.04452021004346456,0.8707952155952731
complete18_min2,within_taxon,12,0.6184731000063911,0.03435961666702173,0.9051548322622948
complete18_min2,within_taxon,13,0.5573463988235591,0.030963688823531066,0.9361185210858258
complete18_min2,within_taxon,14,0.4297276364587538,0.02387375758104188,0.9599922786668678
complete18_min2,within_taxon,15,0.3700081735830497,0.020556009643502765,0.9805482883103706
complete18_min2,within_taxon,16,0.15799837387513302,0.008777687437507392,0.989325975747878
complete18_min2,within_taxon,17,0.1396708549991506,0.007759491944397258,0.9970854676922752
complete18_min2,within_taxon,18,0.05246158153904762,0.002914532307724868,1.0
complete18_min2,among_taxon,1,3.461757934203078,0.19231988523350432,0.19231988523350432
complete18_min2,among_taxon,2,2.4827867895351736,0.13793259941862077,0.3302524846521251
complete18_min2,among_taxon,3,1.9820569786190485,0.11011427658994714,0.44036676124207225
complete18_min2,among_taxon,4,1.6227517859225695,0.09015287699569831,0.5305196382377706
complete18_min2,among_taxon,5,1.304921145733094,0.07249561920739411,0.6030152574451647
complete18_min2,among_taxon,6,1.143433019913915,0.06352405666188417,0.6665393141070489
complete18_min2,among_taxon,7,1.0182310554694365,0.05656839197052425,0.7231077060775731
complete18_min2,among_taxon,8,0.9012891401960685,0.05007161889978159,0.7731793249773548
complete18_min2,among_taxon,9,0.854062346328837,0.04744790812937984,0.8206272331067346
complete18_min2,among_taxon,10,0.6622569832372435,0.036792054624291304,0.8574192877310258
complete18_min2,among_taxon,11,0.6023707083407143,0.0334650393522619,0.8908843270832877
complete18_min2,among_taxon,12,0.49985271852608815,0.027769595473671565,0.9186539225569592
complete18_min2,among_taxon,13,0.47178592941554953,0.026210329411974972,0.9448642519689342
complete18_min2,among_taxon,14,0.3592801067554673,0.019960005930859295,0.9648242578997935
complete18_min2,among_taxon,15,0.2959142873862147,0.016439682632567485,0.981263940532361
complete18_min2,among_taxon,16,0.16249648801870054,0.009027582667705585,0.9902915232000665
complete18_min2,among_taxon,17,0.11723983680479302,0.006513324266932945,0.9968048474669995
complete18_min2,among_taxon,18,0.05751274559400995,0.0031951525330005527,1.0
