obs_id,taxon_name,observed_on,photo_id,photo_index,photo_rank_within_observation,n_available_photos,photo_license_code,selected_image_url
271574993,Cirsium horridulum,2025-04-19,488512823,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488512823/medium.jpg
271574993,Cirsium horridulum,2025-04-19,488512831,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488512831/medium.jpg
271574993,Cirsium horridulum,2025-04-19,488512791,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488512791/medium.jpg
271593264,Cirsium vulgare,2025-02-20,488547633,0,1,2,,https://static.inaturalist.org/photos/488547633/medium.jpg
271593264,Cirsium vulgare,2025-02-20,488547666,1,2,2,,https://static.inaturalist.org/photos/488547666/medium.jpg
271633939,Cirsium arvense,2025-04-20,488630640,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488630640/medium.jpg
271633939,Cirsium arvense,2025-04-20,488630629,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488630629/medium.jpg
271759999,Cirsium scariosum,2011-07-08,488860472,0,1,2,,https://static.inaturalist.org/photos/488860472/medium.jpg
271759999,Cirsium scariosum,2011-07-08,488862052,1,2,2,,https://static.inaturalist.org/photos/488862052/medium.jpg
271772281,Cirsium horridulum,2025-04-19,488885691,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488885691/medium.jpg
271772281,Cirsium horridulum,2025-04-19,488885756,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488885756/medium.jpg
271772281,Cirsium horridulum,2025-04-19,488885801,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488885801/medium.jpg
27181763,Cirsium occidentale,2019-06-16,42264856,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42264856/medium.jpeg
27181763,Cirsium occidentale,2019-06-16,42264840,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42264840/medium.jpeg
271828692,Cirsium rhaphilepis,2025-04-20,488991235,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488991235/medium.jpg
271828692,Cirsium rhaphilepis,2025-04-20,488991319,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/488991319/medium.jpg
271872660,Cirsium mexicanum,2025-04-18,489079228,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489079228/medium.jpg
271872660,Cirsium mexicanum,2025-04-18,489079265,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489079265/medium.jpg
27188315,Cirsium arvense,2019-06-17,42280912,0,1,2,,https://static.inaturalist.org/photos/42280912/medium.jpg
27188315,Cirsium arvense,2019-06-17,42276639,1,2,2,,https://static.inaturalist.org/photos/42276639/medium.jpg
271896803,Cirsium occidentale,2025-04-15,489125992,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489125992/medium.jpeg
271896803,Cirsium occidentale,2025-04-15,489126003,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489126003/medium.jpeg
271904057,Cirsium vulgare,2025-04-21,489140967,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489140967/medium.jpg
271904057,Cirsium vulgare,2025-04-21,489140995,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489140995/medium.jpg
271935796,Cirsium vulgare,2025-04-20,489203416,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489203416/medium.jpg
271935796,Cirsium vulgare,2025-04-20,489203593,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489203593/medium.jpg
271935796,Cirsium vulgare,2025-04-20,489203799,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489203799/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249414,0,1,6,,https://static.inaturalist.org/photos/489249414/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249442,1,2,6,,https://static.inaturalist.org/photos/489249442/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249513,2,3,6,,https://static.inaturalist.org/photos/489249513/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249475,3,4,6,,https://static.inaturalist.org/photos/489249475/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249497,4,5,6,,https://static.inaturalist.org/photos/489249497/medium.jpg
271960351,Cirsium horridulum,2025-04-20,489249533,5,6,6,,https://static.inaturalist.org/photos/489249533/medium.jpg
27199512,Cirsium heterophyllum,2019-06-18,42296274,0,1,3,,https://static.inaturalist.org/photos/42296274/medium.jpeg
27199512,Cirsium heterophyllum,2019-06-18,42296279,1,2,3,,https://static.inaturalist.org/photos/42296279/medium.jpeg
27199512,Cirsium heterophyllum,2019-06-18,42296292,2,3,3,,https://static.inaturalist.org/photos/42296292/medium.jpeg
272082714,Cirsium horridulum,2025-04-21,489520690,0,1,2,,https://static.inaturalist.org/photos/489520690/medium.jpeg
272082714,Cirsium horridulum,2025-04-21,489520729,1,2,2,,https://static.inaturalist.org/photos/489520729/medium.jpeg
272112650,Cirsium occidentale,2025-04-13,489535013,0,1,5,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489535013/medium.jpg
272112650,Cirsium occidentale,2025-04-13,489535006,1,2,5,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489535006/medium.jpg
272112650,Cirsium occidentale,2025-04-13,489535020,2,3,5,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489535020/medium.jpg
272112650,Cirsium occidentale,2025-04-13,489535019,3,4,5,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489535019/medium.jpg
272112650,Cirsium occidentale,2025-04-13,489535008,4,5,5,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489535008/medium.jpg
27214982,Cirsium palustre,2019-06-13,42320888,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42320888/medium.jpg
27214982,Cirsium palustre,2019-06-13,42320903,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42320903/medium.jpg
27214982,Cirsium palustre,2019-06-13,42320853,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42320853/medium.jpg
27214982,Cirsium palustre,2019-06-13,42320871,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/42320871/medium.jpg
272153643,Cirsium vulgare,2025-04-16,489615400,0,1,2,,https://static.inaturalist.org/photos/489615400/medium.jpg
272153643,Cirsium vulgare,2025-04-16,489615424,1,2,2,,https://static.inaturalist.org/photos/489615424/medium.jpg
272154661,Cirsium palustre,2025-04-22,489617667,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489617667/medium.jpeg
272154661,Cirsium palustre,2025-04-22,489617706,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/489617706/medium.jpeg
