condition,metric_id,metric_kind,unit,exposure_stratum,scheduled_heads,scheduled_images,scheduled_components,baseline_usable_heads,paired_usable_heads,lost_usable_heads,gained_usable_heads,neither_usable_heads,paired_images,paired_components,mean_signed_change,mean_absolute_change,median_component_absolute_change,p95_component_absolute_change,spearman_paired_component_means,component_weighted_loss_fraction
baseline,orientation_image_vertical_angle,registered_endpoint,degrees,all_cached,2853,1759,1753,995,995,0,0,1858,794,793,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,orientation_image_vertical_angle,registered_endpoint,degrees,recorded_development_exposed,1406,846,842,508,508,0,0,898,396,395,0.0,0.0,0.0,0.0,1.0,0.0
baseline,orientation_image_vertical_angle,registered_endpoint,degrees,no_recorded_development_exposure,1447,913,911,487,487,0,0,960,398,398,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,corolla_lab_lightness,registered_endpoint,Lab L*,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_lab_lightness,registered_endpoint,Lab L*,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_lab_lightness,registered_endpoint,Lab L*,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,corolla_lab_chroma,registered_endpoint,Lab chroma,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_lab_chroma,registered_endpoint,Lab chroma,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_lab_chroma,registered_endpoint,Lab chroma,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_sin,registered_endpoint,unitless,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_sin,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_sin,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_cos,registered_endpoint,unitless,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_cos,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_hue_cos,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,visible_floret_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,visible_floret_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,visible_floret_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_white_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,corolla_white_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_white_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_redmagenta_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,corolla_purple_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_purple_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_purple_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,corolla_yellow_pixel_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,1250,1250,0,0,1603,977,975,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,corolla_yellow_pixel_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,623,623,0,0,783,471,469,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,corolla_yellow_pixel_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,627,627,0,0,820,506,506,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_aspect_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,1136,1136,0,0,1717,898,896,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_aspect_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,580,580,0,0,826,447,445,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_aspect_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,556,556,0,0,891,451,451,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_circularity,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1136,0,0,1717,898,896,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_circularity,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,580,0,0,826,447,445,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,capitulum_outline_circularity,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,556,0,0,891,451,451,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
baseline,capitulum_outline_solidity,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1136,0,0,1717,898,896,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_solidity,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,580,0,0,826,447,445,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_outline_solidity,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,556,0,0,891,451,451,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_width_profile_cv,registered_endpoint,unitless,all_cached,2853,1759,1753,1136,1136,0,0,1717,898,896,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_width_profile_cv,registered_endpoint,unitless,recorded_development_exposed,1406,846,842,580,580,0,0,826,447,445,0.0,0.0,0.0,0.0,1.0,0.0
baseline,capitulum_width_profile_cv,registered_endpoint,unitless,no_recorded_development_exposure,1447,913,911,556,556,0,0,891,451,451,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_length_width_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_length_width_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_length_width_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_apical_taper_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_apical_taper_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_apical_taper_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_basal_taper_ratio,registered_endpoint,ratio,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_basal_taper_ratio,registered_endpoint,ratio,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,involucre_basal_taper_ratio,registered_endpoint,ratio,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_roughness,registered_endpoint,relative,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_roughness,registered_endpoint,relative,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_roughness,registered_endpoint,relative,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_p95,registered_endpoint,relative,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_p95,registered_endpoint,relative,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_p95,registered_endpoint,relative,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_maximum,registered_endpoint,relative,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_maximum,registered_endpoint,relative,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_projection_maximum,registered_endpoint,relative,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_spread_fraction,registered_endpoint,fraction,all_cached,2853,1759,1753,160,160,0,0,2693,149,148,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
baseline,bract_spread_fraction,registered_endpoint,fraction,recorded_development_exposed,1406,846,842,74,74,0,0,1332,69,68,0.0,0.0,0.0,0.0,1.0,0.0
baseline,bract_spread_fraction,registered_endpoint,fraction,no_recorded_development_exposure,1447,913,911,86,86,0,0,1361,80,80,0.0,0.0,0.0,0.0,1.0,0.0
