group,taxon,eligible_observations,sample_size,log_density_cutoff,independent_mass,retained_variance
colour,Cirsium vulgare,11138,50,-6.047806469975005,0.9024166666666666,0.911159898282929
colour,Cirsium arvense,10423,50,-5.796618074672325,0.903,0.911159898282929
outline,Cirsium vulgare,10460,50,-5.965091918872184,0.90175,0.9692267356982751
outline,Cirsium arvense,9865,50,-6.055981425777865,0.8911666666666667,0.9692267356982751
involucre,Cirsium vulgare,742,50,-6.2243421169967155,0.8940833333333333,0.6355682142494097
involucre,Cirsium arvense,404,50,-6.2316396898825746,0.9021666666666667,0.6355682142494097
