group,endpoint,axis,coefficient
colour,corolla_lab_lightness,1,-0.4707527266011787
colour,corolla_lab_lightness,2,0.5064378679801342
colour,corolla_lab_lightness,3,0.6135349505809764
colour,corolla_lab_chroma,1,0.4343594831085249
colour,corolla_lab_chroma,2,-0.5543324601180043
colour,corolla_lab_chroma,3,0.6918903391550748
colour,corolla_hue_sin,1,-0.7678527722152103
colour,corolla_hue_sin,2,-0.6270896375095019
colour,corolla_hue_sin,3,0.009686528691271956
colour,corolla_hue_cos,1,0.011217398658675853
colour,corolla_hue_cos,2,-0.207351865348395
colour,corolla_hue_cos,3,-0.38048494603780014
outline,capitulum_outline_aspect_ratio,1,-0.02577422321398954
outline,capitulum_outline_aspect_ratio,2,-0.9968558545200783
outline,capitulum_outline_aspect_ratio,3,0.028769731449246976
outline,capitulum_outline_circularity,1,-0.6140291753870522
outline,capitulum_outline_circularity,2,-0.02144612596032968
outline,capitulum_outline_circularity,3,0.37548966957051083
outline,capitulum_outline_solidity,1,-0.620234603843198
outline,capitulum_outline_solidity,2,0.07471885161805816
outline,capitulum_outline_solidity,3,0.31246702481535515
outline,capitulum_width_profile_cv,1,0.48745553375326844
outline,capitulum_width_profile_cv,2,0.015348035809746106
outline,capitulum_width_profile_cv,3,0.8720918351877897
