paper_japan_member_id,taxon_name
JPN_05,Cirsium aomorense
JPN_15,Cirsium lineare
JPN_17,Cirsium maritimum
JPN_22,Cirsium norikurense
JPN_23,Cirsium oligophyllum
JPN_26,Cirsium spicatum
JPN_27,Cirsium suzukaense
JPN_29,Cirsium verutum
JPN_30,Cirsium yezoense
JPN_32,Cirsium buergeri
JPN_35,Cirsium nipponicum
JPN_36,Cirsium sieboldii
JPN_37,Cirsium kamtschaticum
JPN_38,Cirsium pendulum
