endpoint,cohort,status,n_observations,n_taxa
involucre_projection_roughness,all_resolution_adjusted,success,904,165
involucre_spread_fraction,all_resolution_adjusted,success,904,165
spine_relative_length_max_proxy,all_resolution_adjusted,success,904,165
involucre_projection_roughness,resolution_150_199,success,247,83
involucre_spread_fraction,resolution_150_199,success,247,83
spine_relative_length_max_proxy,resolution_150_199,success,247,83
involucre_projection_roughness,resolution_200_299,success,315,94
involucre_spread_fraction,resolution_200_299,success,315,94
spine_relative_length_max_proxy,resolution_200_299,success,315,94
involucre_projection_roughness,resolution_300_plus,success,205,69
involucre_spread_fraction,resolution_300_plus,success,205,69
spine_relative_length_max_proxy,resolution_300_plus,success,205,69
