taxon_name,n_observations,rank,fraction
Cirsium engelmannii,49,56,0.0010588642060679401
Cirsium brachycephalum,45,57,0.0009724263116950471
Cirsium mohavense,45,58,0.0009724263116950471
Cirsium remotifolium,41,59,0.000885988417322154
Cirsium alsophilum,34,60,0.0007347221021695912
Cirsium townsendii,30,61,0.0006482842077966981
Cirsium foliosum,29,62,0.0006266747342034748
Cirsium candelabrum,28,63,0.0006050652606102515
Cirsium douglasii,27,64,0.0005834557870170282
Cirsium quercetorum,27,65,0.0005834557870170282
Cirsium funkiae,26,66,0.000561846313423805
Cirsium alatum,25,67,0.0005402368398305817
Cirsium coloradense,25,68,0.0005402368398305817
Cirsium pugnax,25,69,0.0005402368398305817
Cirsium brevicaule,23,70,0.0004970178926441351
Cirsium vlassovianum,23,71,0.0004970178926441351
Cirsium centaureae,22,72,0.00047540841905091194
Cirsium rhizocephalum,22,73,0.00047540841905091194
Cirsium waldsteinii,22,74,0.00047540841905091194
Cirsium oligophyllum,20,75,0.0004321894718644654
Cirsium conspicuum,19,76,0.0004105799982712421
Cirsium creticum,19,77,0.0004105799982712421
Cirsium anartiolepis,18,78,0.00038897052467801884
Cirsium scopulorum,18,79,0.00038897052467801884
Cirsium arisanense,17,80,0.0003673610510847956
Cirsium carniolicum,17,81,0.0003673610510847956
Cirsium ligulare,17,82,0.0003673610510847956
Cirsium nivale,17,83,0.0003673610510847956
Cirsium pyrenaicum,17,84,0.0003673610510847956
Cirsium greimleri,16,85,0.0003457515774915723
Cirsium griseum,16,86,0.0003457515774915723
Cirsium simplex,16,87,0.0003457515774915723
Cirsium argillosum,15,88,0.00032414210389834905
Cirsium lecontei,15,89,0.00032414210389834905
Cirsium semenowii,15,90,0.00032414210389834905
Cirsium virginianum,15,91,0.00032414210389834905
Cirsium hypoleucum,14,92,0.00030253263030512574
Cirsium maritimum,14,93,0.00030253263030512574
Cirsium purpuratum,14,94,0.00030253263030512574
Cirsium schantarense,14,95,0.00030253263030512574
Cirsium maackii,13,96,0.0002809231567119025
Cirsium phyllocephalum,13,97,0.0002809231567119025
Cirsium hesperium,12,98,0.00025931368311867925
Cirsium pitcheri,12,99,0.00025931368311867925
Cirsium pulcherrimum,12,100,0.00025931368311867925
Cirsium tracyi,12,101,0.00025931368311867925
Cirsium laniflorum,11,102,0.00023770420952545597
Cirsium roseolum,11,103,0.00023770420952545597
Cirsium brevifolium,10,104,0.0002160947359322327
Cirsium clavatum,10,105,0.0002160947359322327
Cirsium eatonii,10,106,0.0002160947359322327
Cirsium grahamii,10,107,0.0002160947359322327
Cirsium pacificum,10,108,0.0002160947359322327
Cirsium sieboldii,10,109,0.0002160947359322327
Cirsium inamoenum,9,110,0.00019448526233900942
Cirsium jaliscoense,9,111,0.00019448526233900942
Cirsium verutum,9,112,0.00019448526233900942
Cirsium appendiculatum,8,113,0.00017287578874578615
Cirsium chlorocomos,8,114,0.00017287578874578615
Cirsium dealbatum,8,115,0.00017287578874578615
Cirsium ferum,8,116,0.00017287578874578615
Cirsium glabrum,8,117,0.00017287578874578615
Cirsium novoleonense,8,118,0.00017287578874578615
Cirsium sairamense,8,119,0.00017287578874578615
Cirsium suzukii,8,120,0.00017287578874578615
Cirsium acrolepis,7,121,0.00015126631515256287
Cirsium coryletorum,7,122,0.00015126631515256287
Cirsium kosmelii,7,123,0.00015126631515256287
Cirsium pringlei,7,124,0.00015126631515256287
Cirsium setidens,7,125,0.00015126631515256287
Cirsium turkestanicum,7,126,0.00015126631515256287
Cirsium calcareum,6,127,0.00012965684155933962
Cirsium cephalotes,6,128,0.00012965684155933962
Cirsium culebraense,6,129,0.00012965684155933962
Cirsium euxinum,6,130,0.00012965684155933962
Cirsium jorullense,6,131,0.00012965684155933962
Cirsium lomatolepis,6,132,0.00012965684155933962
Cirsium sieversii,6,133,0.00012965684155933962
Cirsium sorocephalum,6,134,0.00012965684155933962
Cirsium subuliforme,6,135,0.00012965684155933962
Cirsium tioganum,6,136,0.00012965684155933962
Cirsium turneri,6,137,0.00012965684155933962
Cirsium tweedyi,6,138,0.00012965684155933962
Cirsium andrewsii,5,139,0.00010804736796611635
