scale,predictor,construct,mean_squared_slope,statistic_share,component_slopes
among_taxon,chelsa_bio01,presentation_angle,0.013054064233675026,0.09075362921095638,[-0.11425438387070767]
among_taxon,chelsa_bio01,floral_lightness,0.010608865669346207,0.07375427637478703,[-0.10299934790738341]
among_taxon,chelsa_bio01,floral_chroma,0.01249679189995014,0.08687939618750246,[0.11178905089475508]
among_taxon,chelsa_bio01,floral_hue,0.02327155096541044,0.16178698600475339,"[-0.15905968169905643, 0.14575019584417626]"
among_taxon,chelsa_bio01,head_elongation,0.006896064644900467,0.04794237890936845,[0.08304254719660559]
among_taxon,chelsa_bio01,head_compactness,0.002147016265066339,0.0149263489547629,[-0.04633590686569476]
among_taxon,chelsa_bio01,involucre_form,0.01982760545122163,0.13784420859669114,"[0.1640054487693963, -0.15517846900120696, 0.0922207779519088]"
among_taxon,chelsa_bio01,projection_prominence,0.004108665998213769,0.02856400457963603,[-0.06409887673129513]
among_taxon,chelsa_bio01,projection_pattern,0.05143006033208794,0.35754877118154216,"[0.2844641656234188, 0.14812244644329914]"
among_taxon,chelsa_bio04,presentation_angle,0.0007109796352854953,0.003107538921412443,[0.026664201380980742]
among_taxon,chelsa_bio04,floral_lightness,0.01446070547130734,0.06320463041831684,[0.1202526734476508]
among_taxon,chelsa_bio04,floral_chroma,0.02125766745321468,0.09291268794609145,[-0.14580009414679634]
among_taxon,chelsa_bio04,floral_hue,0.012018717400056982,0.0525312262863009,"[-0.046660879445233096, -0.1478519432726922]"
among_taxon,chelsa_bio04,head_elongation,0.009119040661521393,0.03985736352383892,[-0.09549366817502296]
among_taxon,chelsa_bio04,head_compactness,0.038769781276412105,0.16945436734305278,[0.1969004349320034]
among_taxon,chelsa_bio04,involucre_form,0.008773214032858922,0.038345829781809955,"[-0.036308131129176954, -0.1556678295272031, -0.027728839910333324]"
among_taxon,chelsa_bio04,projection_prominence,0.0305923821094275,0.13371271606899585,[-0.1749067811990933]
among_taxon,chelsa_bio04,projection_pattern,0.0930893801442535,0.40687363971018087,"[-0.2853673873700626, -0.32364210868502824]"
