scale,predictor,n,taxa,statistic,p_value,largest_contributor,largest_share,q_bh_18,fdr_0_05
among_taxon,chelsa_bio01,42,42,0.01598229838443022,0.7337,projection_pattern,0.35754877118154216,0.8168,False
among_taxon,chelsa_bio04,42,42,0.025421318687148656,0.3783,projection_pattern,0.40687363971018087,0.7295142857142858,False
among_taxon,chelsa_bio12,42,42,0.013472550286027883,0.8168,head_compactness,0.23184071577827006,0.8168,False
among_taxon,chelsa_bio15,42,42,0.020263739094870427,0.5674,floral_lightness,0.2801243375840292,0.7295142857142858,False
among_taxon,chelsa_rsds_mean,42,42,0.05409516306484056,0.0241,floral_chroma,0.27006095348586157,0.3465,False
among_taxon,chelsa_vpd_mean,42,42,0.023858353916745866,0.4365,projection_prominence,0.34107839272882473,0.7295142857142858,False
among_taxon,chelsa_sfcwind_mean,42,42,0.0504494359257184,0.0385,projection_pattern,0.25171786180719674,0.3465,False
among_taxon,chelsa_gsp,42,42,0.026986602250270927,0.3378,projection_prominence,0.24234271890049242,0.7295142857142858,False
among_taxon,chelsa_npp,42,42,0.034118166387925385,0.1773,floral_chroma,0.34617084003399584,0.7295142857142858,False
within_taxon,chelsa_bio01,1734,42,0.0005087944648684011,0.5607,head_elongation,0.2786053787737061,0.7295142857142858,False
within_taxon,chelsa_bio04,1734,42,0.001030556898202339,0.0764,presentation_angle,0.328026069936517,0.4584,False
within_taxon,chelsa_bio12,1734,42,0.0005057699297801472,0.5535,involucre_form,0.40050092546141686,0.7295142857142858,False
within_taxon,chelsa_bio15,1734,42,0.00037960269204610845,0.7866,involucre_form,0.6346822923654465,0.8168,False
within_taxon,chelsa_rsds_mean,1734,42,0.0004154737297336886,0.7256,projection_pattern,0.3369801185401285,0.8168,False
within_taxon,chelsa_vpd_mean,1734,42,0.0006881210414123459,0.2841,projection_pattern,0.29306191651273994,0.7295142857142858,False
within_taxon,chelsa_sfcwind_mean,1734,42,0.0005776408222370213,0.4311,head_compactness,0.24502699227736127,0.7295142857142858,False
within_taxon,chelsa_gsp,1734,42,0.0005055391897168353,0.451,head_compactness,0.432721979086486,0.7295142857142858,False
within_taxon,chelsa_npp,1734,42,0.0007158808684937076,0.2649,involucre_form,0.3840155106814754,0.7295142857142858,False
