construct_left,construct_right,within_taxon_rv,among_taxon_rv,delta_among_minus_within
presentation_angle,floral_lightness,0.02167244621429613,0.20289216346960842,0.1812197172553123
presentation_angle,floral_chroma,0.0018394353278882766,0.024523987337852545,0.02268455200996427
presentation_angle,floral_hue,0.014832961428222444,0.19629409606705248,0.18146113463883004
presentation_angle,head_elongation,0.0023426014339578464,0.33961701653570664,0.33727441510174877
presentation_angle,head_compactness,0.0012362756697155957,0.00017318392179828873,-0.001063091747917307
presentation_angle,involucre_form,0.007872339265761976,0.09905046455367407,0.0911781252879121
presentation_angle,projection_prominence,0.0027977851724397883,0.003174307362952781,0.00037652219051299276
presentation_angle,projection_pattern,0.0010604566223368166,0.008568878020099561,0.007508421397762744
floral_lightness,floral_chroma,0.04935498363336979,0.1878295065655059,0.1384745229321361
floral_lightness,floral_hue,0.18433610252792668,0.4658055557773889,0.28146945324946226
floral_lightness,head_elongation,2.325620580840909e-05,0.031027665794725632,0.031004409588917224
floral_lightness,head_compactness,0.0013168436363427633,0.015774525830400885,0.014457682194058121
floral_lightness,involucre_form,0.0014034962729742616,0.046955147845714876,0.04555165157274062
floral_lightness,projection_prominence,0.00046415071857840347,0.09222306421338958,0.09175891349481118
floral_lightness,projection_pattern,0.0006874964086537927,0.13647858349691205,0.13579108708825827
floral_chroma,floral_hue,0.033916123543071164,0.2903307647932454,0.2564146412501742
floral_chroma,head_elongation,0.003632038176776643,0.0036730418934111295,4.100371663448652e-05
floral_chroma,head_compactness,0.0004236996197185487,0.00446740979827745,0.004043710178558901
floral_chroma,involucre_form,0.011772934097719399,0.05282010292623693,0.04104716882851753
floral_chroma,projection_prominence,0.0001663352769288155,0.3345155786072055,0.33434924333027666
floral_chroma,projection_pattern,0.0007547820119031633,0.002204863541971531,0.0014500815300683679
floral_hue,head_elongation,0.0007525914768121998,0.03559758011767008,0.03484498864085788
floral_hue,head_compactness,0.007714349384628585,0.028784036938022593,0.021069687553394008
floral_hue,involucre_form,0.0012326547976786743,0.13240990496149102,0.13117725016381235
floral_hue,projection_prominence,0.006720783562630932,0.10140004628100416,0.09467926271837322
floral_hue,projection_pattern,0.004153812073395919,0.042638734856504344,0.03848492278310842
head_elongation,head_compactness,0.002133205647658904,0.01830622620862757,0.016173020560968664
head_elongation,involucre_form,0.002472688263452052,0.08866749727750857,0.08619480901405652
head_elongation,projection_prominence,0.01192890153548701,0.043785784690593056,0.03185688315510605
head_elongation,projection_pattern,5.627865732561027e-06,0.016170487276265195,0.016164859410532636
head_compactness,involucre_form,0.0007998454383602751,0.019812868088491115,0.01901302265013084
head_compactness,projection_prominence,7.227881423576627e-05,0.0025155688286715664,0.0024432900144358
head_compactness,projection_pattern,0.0021052054719003176,0.00991010985066865,0.007804904378768332
involucre_form,projection_prominence,0.026748376660893664,0.02550665566898688,-0.0012417209919067841
involucre_form,projection_pattern,0.02586339969671268,0.048955759100451725,0.023092359403739045
projection_prominence,projection_pattern,0.35073838350266834,0.09993045060779959,-0.25080793289486875
