obs_id,taxon_name,latitude,longitude,tdwg_level3_code,resolution_status,accepted_key,accepted_name,native_range_status
338305674,Cirsium acaulon,42.9705164875,-1.0044797931,,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,unmapped_tdwg
331600375,Cirsium acaulon,42.9515429507,-0.813880451,,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,unmapped_tdwg
133775445,Cirsium acaulon,42.7981604483,-0.6653028354,SPA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
299175199,Cirsium acaulon,42.7590480959,-0.4851824418,SPA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
103241989,Cirsium acaulon,42.8202609629,-0.1953876985,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
285859386,Cirsium acaulon,42.754985,1.837721,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
300114664,Cirsium acaulon,42.9366780955,19.0727422014,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
142931137,Cirsium acaulon,43.108447683,-1.3335759475,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
247112199,Cirsium acaulon,43.1328472222,18.9482361111,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
185887392,Cirsium acaulon,43.1692366667,19.0872305,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
127125963,Cirsium acaulon,43.4300633333,16.7512283333,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
104466545,Cirsium acaulon,43.3300221595,17.0616903291,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
91752000,Cirsium acaulon,43.6570095644,6.0010791477,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
318357612,Cirsium acaulon,43.6121264962,6.440574037,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
317066442,Cirsium acaulon,43.6723464865,16.6396670043,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
130632091,Cirsium acaulon,43.684958553,16.8838034973,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
313052961,Cirsium acaulon,43.70427,17.0967221667,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
179332526,Cirsium acaulon,43.6982116699,17.5293998718,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
307332228,Cirsium acaulon,43.6355533333,18.1866283333,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
307946066,Cirsium acaulon,43.97168439,3.23752403,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
102861724,Cirsium acaulon,43.81163,3.34468,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
90003773,Cirsium acaulon,43.9273719788,5.8962388039,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
181464708,Cirsium acaulon,43.774796,6.243025,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
236318371,Cirsium acaulon,43.8799161899,6.5484376252,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
31532618,Cirsium acaulon,43.8170833327,6.9526928943,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
245714755,Cirsium acaulon,43.7566564372,7.0174858253,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
310163318,Cirsium acaulon,43.98088,10.3457733333,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
33699979,Cirsium acaulon,43.9175632677,11.7638434946,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
131563821,Cirsium acaulon,43.883658803,16.4610347333,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
307952422,Cirsium acaulon,43.89963102,16.64719027,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
327503848,Cirsium acaulon,43.8039025267,16.9933528081,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
317259062,Cirsium acaulon,43.8199916667,17.5986033333,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
32017365,Cirsium acaulon,43.7760078,19.457643,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
315057479,Cirsium acaulon,43.8306986284,19.5778610027,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
243575923,Cirsium acaulon,44.0566068835,3.1238270388,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
102861691,Cirsium acaulon,44.13891,3.36396,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
313105504,Cirsium acaulon,44.2464574576,3.6545537597,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
10723186,Cirsium acaulon,44.197236,4.144796,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
9128377,Cirsium acaulon,44.174137,5.283997,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
191451440,Cirsium acaulon,44.1691813341,5.5665540551,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
300353409,Cirsium acaulon,44.1644999593,5.8807705846,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
15808573,Cirsium acaulon,44.2392130802,6.1336464062,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
235711867,Cirsium acaulon,44.2407175933,6.6342304274,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
55039839,Cirsium acaulon,44.09528617,6.98087833,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
234165729,Cirsium acaulon,44.1024971667,7.0235055,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
332151947,Cirsium acaulon,44.1784473798,7.4948857702,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
31313444,Cirsium acaulon,44.0990706004,7.5039876625,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
75150860,Cirsium acaulon,44.1014351058,8.1510091849,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
304534376,Cirsium acaulon,44.2179588661,10.3347518295,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
234694034,Cirsium acaulon,44.0570771861,10.6197378537,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
317092737,Cirsium acaulon,44.2457383333,15.77943,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
253916878,Cirsium acaulon,44.0513028333,16.8560783333,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
133209366,Cirsium acaulon,44.0893080334,18.508248626,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
184047603,Cirsium acaulon,44.1197456273,19.6562986932,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
311441061,Cirsium acaulon,44.392908143,3.2038096074,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
