accepted_key,tdwg_level3_code,locality,establishment_means,occurrence_status,classified_status
206738404,TAI,Taiwan,,,native
206738408,UTA,Utah,,,native
206738422,NEV,Nevada,,,native
206738470,TAI,Taiwan,,,native
206738505,AUT,Austria,,,native
206738505,YUG,NW. Balkan Pen.,,,native
206738638,TAI,Taiwan,,,native
206738938,TAI,Taiwan,,,native
206739103,TAI,Taiwan,,,native
206739202,TAI,Taiwan,,,native
206739447,TAI,Taiwan,,,native
206739548,MXE,Mexico Northeast,,,native
206739568,CHC,China South-Central,,,native
206739568,CHS,China Southeast,,,native
206739568,JAP,Japan,,,native
206739589,JAP,Japan,,,native
206739597,JAP,Japan,,,native
206739803,ARI,Arizona,,,native
206739803,COL,Colorado,,,native
206739803,MXE,Mexico Northeast,,,native
206739803,MXN,Mexico Northwest,,,native
206739803,NWM,New Mexico,,,native
206739803,TEX,Texas,,,native
206739803,UTA,Utah,,,native
206739832,POR,Portugal,,,native
206739835,AFG,Afghanistan,,,native
206739835,EHM,East Himalaya,,,native
206739835,IND,India,,,native
206739835,NEP,Nepal,,,native
206739835,PAK,Pakistan,,,native
206739835,WHM,West Himalaya,,,native
206739900,AUT,Austria,,,native
206739900,CZE,Czechia-Slovakia,,,native
206739900,YUG,NW. Balkan Pen.,,,native
206739900,POL,Poland,,,native
206739900,ROM,Romania,,,native
206739900,UKR,Ukraine,,,native
206739917,AFG,Afghanistan,,,native
206739917,ALA,Alabama,INTRODUCED,,introduced
206739917,ASK,Alaska,INTRODUCED,,introduced
206739917,ALB,Albania,,,native
206739917,ABT,Alberta,INTRODUCED,,introduced
206739917,ALG,Algeria,,,native
206739917,ALT,Altay,,,native
206739917,ARI,Arizona,INTRODUCED,,introduced
206739917,ARK,Arkansas,INTRODUCED,,introduced
206739917,AUT,Austria,,,native
206739917,AZO,Azores,INTRODUCED,,introduced
206739917,BAL,Baleares,,,native
206739917,BLT,Baltic States,,,native
206739917,BLR,Belarus,,,native
206739917,BGM,Belgium,,,native
206739917,BOL,Bolivia,INTRODUCED,,introduced
206739917,BRC,British Columbia,INTRODUCED,,introduced
206739917,BUL,Bulgaria,,,native
206739917,BRY,Buryatiya,INTRODUCED,,introduced
206739917,CAL,California,INTRODUCED,,introduced
206739917,CNY,Canary Is.,INTRODUCED,,introduced
206739917,CPP,Cape Provinces,INTRODUCED,,introduced
206739917,RUC,Central European Russia,,,native
206739917,CTM,Chatham Is.,INTRODUCED,,introduced
206739917,CLM,Colombia,INTRODUCED,,introduced
206739917,COL,Colorado,INTRODUCED,,introduced
206739917,CNT,Connecticut,INTRODUCED,,introduced
206739917,COR,Corse,,,native
206739917,CYP,Cyprus,,,native
206739917,CZE,Czechia-Slovakia,,,native
206739917,DEL,Delaware,INTRODUCED,,introduced
206739917,DEN,Denmark,,,native
206739917,WDC,District of Columbia,INTRODUCED,,introduced
206739917,EAI,East Aegean Is.,,,native
206739917,RUE,East European Russia,,,native
206739917,ECU,Ecuador,INTRODUCED,,introduced
206739917,ETH,Ethiopia,INTRODUCED,,introduced
206739917,FIN,Finland,,,native
206739917,FLA,Florida,INTRODUCED,,introduced
206739917,FRA,France,,,native
206739917,OFS,Free State,INTRODUCED,,introduced
206739917,FOR,Føroyar,INTRODUCED,,introduced
206739917,GEO,Georgia,INTRODUCED,,introduced
206739917,GER,Germany,,,native
206739917,GRB,Great Britain,,,native
206739917,GRC,Greece,,,native
206739917,GUA,Guatemala,INTRODUCED,,introduced
206739917,HAW,Hawaii,INTRODUCED,,introduced
206739917,HUN,Hungary,,,native
206739917,IDA,Idaho,INTRODUCED,,introduced
206739917,ILL,Illinois,INTRODUCED,,introduced
206739917,INI,Indiana,INTRODUCED,,introduced
206739917,IOW,Iowa,INTRODUCED,,introduced
206739917,IRN,Iran,,,native
206739917,IRQ,Iraq,,,native
206739917,IRE,Ireland,,,native
206739917,ITA,Italy,,,native
206739917,JNF,Juan Fernández Is.,INTRODUCED,,introduced
206739917,KAN,Kansas,INTRODUCED,,introduced
206739917,KAZ,Kazakhstan,,,native
206739917,KTY,Kentucky,INTRODUCED,,introduced
206739917,KER,Kermadec Is.,INTRODUCED,,introduced
206739917,KGZ,Kirgizstan,,,native
206739917,KOR,Korea,INTRODUCED,,introduced
206739917,KRA,Krasnoyarsk,,,native
206739917,KRI,Kriti,,,native
206739917,KRY,Krym,,,native
206739917,KUR,Kuril Is.,INTRODUCED,,introduced
