taxon_name,native_range_status,n_observations
Cirsium subuliforme,unresolved_taxon,6
Cirsium suffultum,native,1
Cirsium suzukaense,native,4
Cirsium suzukii,native,8
Cirsium sychnosanthum,native,4
Cirsium taiwanense,native,3
Cirsium tamastoloniferum,native,1
Cirsium tancitaroense,native,1
Cirsium tatakaense,native,5
Cirsium tenorioanum,native,1
Cirsium tenuipedunculatum,native,2
Cirsium tepehuanense,native,2
Cirsium texanum,native,465
Cirsium texanum,unmapped_tdwg,5
Cirsium tioganum,native,6
Cirsium townsendii,native,30
Cirsium tracyi,native,12
Cirsium tuberosum,native,64
Cirsium tuberosum,unmapped_tdwg,1
Cirsium tukuhnikivatzicum,native,4
Cirsium turkestanicum,native,7
Cirsium turneri,native,6
Cirsium tweedyi,native,6
Cirsium tymphaeum,native,4
Cirsium ukranicum,native,69
Cirsium uliginosum,native,3
Cirsium undulatum,native,766
Cirsium undulatum,introduced,5
Cirsium undulatum,unmapped_tdwg,2
Cirsium valentinum,native,1
Cirsium velatum,native,5
Cirsium vergelense,native,1
Cirsium verutum,native,9
Cirsium viperinum,native,2
Cirsium virginianum,unresolved_taxon,15
Cirsium vlassovianum,native,14
Cirsium vlassovianum,unmapped_tdwg,9
Cirsium vulgare,introduced,5893
Cirsium vulgare,native,5591
Cirsium vulgare,unmapped_tdwg,882
Cirsium vulgare,unlisted,841
Cirsium waldsteinii,native,21
Cirsium waldsteinii,unmapped_tdwg,1
Cirsium wallichii,native,3
Cirsium welwitschii,native,1
Cirsium wheeleri,native,53
Cirsium yakusimense,native,1
Cirsium yatsu-alpicola,native,3
Cirsium yezoense,native,3
Cirsium zamoranense,native,1
Cirsium zhejiangense,native,1
