input_name,resolution_status,accepted_key,accepted_name,n_exact_records,n_distinct_accepted_keys
Cirsium acantholepis,resolved_unique_accepted_key,206745496,Cirsium acantholepis Petr.,1,1
Cirsium acaulon,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,1,1
Cirsium acrolepis,resolved_unique_accepted_key,206745600,Cirsium acrolepis (Petr.) G.B.Ownbey,1,1
Cirsium alatum,resolved_unique_accepted_key,206745656,Cirsium alatum (S.G.Gmel.) Bobrov,1,1
Cirsium alberti,resolved_unique_accepted_key,206745681,Cirsium alberti Regel & Schmalh.,1,1
Cirsium alsophilum,resolved_unique_accepted_key,206745696,Cirsium alsophilum (Pollini) Soldano,1,1
Cirsium altissimum,resolved_unique_accepted_key,206745708,Cirsium altissimum (L.) Spreng.,1,1
Cirsium anartiolepis,resolved_unique_accepted_key,206745742,Cirsium anartiolepis Petr.,1,1
Cirsium andersonii,resolved_unique_accepted_key,206745745,Cirsium andersonii Petr.,1,1
Cirsium andrewsii,resolved_unique_accepted_key,206745778,Cirsium andrewsii Jeps.,1,1
Cirsium aomorense,resolved_unique_accepted_key,206745795,Cirsium aomorense Nakai,1,1
Cirsium appendiculatum,resolved_unique_accepted_key,206745810,Cirsium appendiculatum Griseb.,1,1
Cirsium arachnoideum,resolved_unique_accepted_key,206745819,Cirsium arachnoideum (M.Bieb.) M.Bieb.,1,1
Cirsium arctorhaphis,resolved_unique_accepted_key,209721664,Cirsium arctorhaphis G.L.Nesom,1,1
Cirsium argillosum,resolved_unique_accepted_key,206745834,Cirsium argillosum Petrov ex Kharadze,1,1
Cirsium argyracanthum,resolved_unique_accepted_key,206745837,Cirsium argyracanthum DC.,1,1
Cirsium arisanense,resolved_unique_accepted_key,206739447,Cirsium arisanense Kitam.,1,1
Cirsium arizonicum,resolved_unique_accepted_key,206745859,Cirsium arizonicum (A.Gray) Petr.,1,1
Cirsium arvense,resolved_unique_accepted_key,206745077,Cirsium arvense (L.) Scop.,1,1
Cirsium babanum,resolved_unique_accepted_key,206744921,Cirsium babanum Koidz.,1,1
Cirsium barnebyi,resolved_unique_accepted_key,206744911,Cirsium barnebyi S.L.Welsh & Neese,1,1
Cirsium bertolonii,resolved_unique_accepted_key,206744892,Cirsium bertolonii Spreng.,1,1
Cirsium bicentenariale,resolved_unique_accepted_key,206744889,Cirsium bicentenariale Rzed.,1,1
Cirsium boninense,resolved_unique_accepted_key,206744878,Cirsium boninense Koidz.,1,1
Cirsium borealinipponense,resolved_unique_accepted_key,206744868,Cirsium borealinipponense Kitam.,1,1
Cirsium botryodes,resolved_unique_accepted_key,206744846,Cirsium botryodes Petr.,1,1
Cirsium brachycephalum,resolved_unique_accepted_key,206744816,Cirsium brachycephalum Juratzka,1,1
Cirsium bracteosum,resolved_unique_accepted_key,206744807,Cirsium bracteosum DC.,1,1
Cirsium brevicaule,resolved_unique_accepted_key,206745753,Cirsium brevicaule A.Gray,1,1
Cirsium brevifolium,resolved_unique_accepted_key,206745763,Cirsium brevifolium Nutt.,1,1
Cirsium brevistylum,resolved_unique_accepted_key,206745775,Cirsium brevistylum Cronquist,1,1
Cirsium buergeri,resolved_unique_accepted_key,206744799,Cirsium buergeri Miq.,1,1
Cirsium calcareum,resolved_unique_accepted_key,206745899,Cirsium calcareum (M.E.Jones) Wooton & Standl.,1,1
Cirsium candelabrum,resolved_unique_accepted_key,206744718,Cirsium candelabrum Griseb.,1,1
Cirsium canescens,resolved_unique_accepted_key,206744679,Cirsium canescens Nutt.,1,1
Cirsium canum,resolved_unique_accepted_key,206744662,Cirsium canum (L.) All.,1,1
Cirsium carniolicum,unresolved,,,2,2
Cirsium carolinianum,resolved_unique_accepted_key,206744610,Cirsium carolinianum (Walter) Fernald & B.G.Schub.,1,1
Cirsium centaureae,resolved_unique_accepted_key,206744481,Cirsium centaureae (Rydb.) K.Schum.,1,1
Cirsium cephalotes,resolved_unique_accepted_key,206744605,Cirsium cephalotes Boiss.,1,1
Cirsium chanroenicum,resolved_unique_accepted_key,206740862,Cirsium setidens (Dunn) Nakai,1,1
Cirsium charkeviczii,resolved_unique_accepted_key,206744600,Cirsium charkeviczii Barkalov,1,1
Cirsium chellyense,resolved_unique_accepted_key,206745964,Cirsium chellyense R.J.Moore & Frankton,1,1
Cirsium chinense,resolved_unique_accepted_key,206744578,Cirsium chinense Gardner & Champ.,1,1
Cirsium chionanthum,resolved_unique_accepted_key,209721656,Cirsium chionanthum G.L.Nesom & García-Mor.,1,1
Cirsium chlorocomos,resolved_unique_accepted_key,206744573,Cirsium chlorocomos Sommier & Levier,1,1
Cirsium chokaiense,resolved_unique_accepted_key,206744570,Cirsium chokaiense Kitam.,1,1
Cirsium ciliatum,resolved_unique_accepted_key,206744527,Cirsium ciliatum (Murray) Moench,1,1
Cirsium ciliolatum,resolved_unique_accepted_key,206744512,Cirsium ciliolatum (L.F.Hend.) J.T.Howell,1,1
Cirsium clavatum,resolved_unique_accepted_key,206744505,Cirsium clavatum (M.E.Jones) Petr.,1,1
Cirsium clokeyi,resolved_unique_accepted_key,206744165,Cirsium clokeyi S.F.Blake,1,1
Cirsium coahuilense,resolved_unique_accepted_key,206744427,Cirsium coahuilense Ownbey & Pinkava,1,1
Cirsium coloradense,resolved_unique_accepted_key,206741431,Cirsium coloradense (Rydb.) Cockerell ex Daniels,1,1
Cirsium confertissimum,resolved_unique_accepted_key,206744424,Cirsium confertissimum Nakai,1,1
Cirsium consociatum,resolved_unique_accepted_key,206744419,Cirsium consociatum S.F.Blake,1,1
Cirsium conspicuum,resolved_unique_accepted_key,206745439,Cirsium conspicuum Sch.Bip.,1,1
Cirsium coryletorum,resolved_unique_accepted_key,206740172,Cirsium vlassovianum Fisch. ex DC.,1,1
Cirsium creticum,resolved_unique_accepted_key,206745457,Cirsium creticum (Lam.) d'Urv.,1,1
Cirsium culebraense,resolved_unique_accepted_key,209721671,Cirsium culebraense Ackerf.,1,1
Cirsium cymosum,resolved_unique_accepted_key,206744391,Cirsium cymosum (Greene) J.T.Howell,1,1
Cirsium czerkessicum,resolved_unique_accepted_key,206744388,Cirsium czerkessicum Kharadze,1,1
Cirsium dealbatum,resolved_unique_accepted_key,206744373,Cirsium dealbatum M.Bieb.,1,1
Cirsium discolor,unresolved,,,2,2
Cirsium dissectum,resolved_unique_accepted_key,206744236,Cirsium dissectum (L.) Hill,1,1
Cirsium douglasii,resolved_unique_accepted_key,206744192,Cirsium douglasii DC.,1,1
Cirsium drummondii,resolved_unique_accepted_key,206744180,Cirsium drummondii Torr. & A.Gray,1,1
Cirsium dyris,resolved_unique_accepted_key,206744167,Cirsium dyris Jahand. & Maire,1,1
Cirsium eatonii,resolved_unique_accepted_key,206744126,Cirsium eatonii (A.Gray) B.L.Rob.,1,1
Cirsium echinus,resolved_unique_accepted_key,206744038,Cirsium echinus (M.Bieb.) Hand.-Mazz.,1,1
Cirsium edule,resolved_unique_accepted_key,206744003,Cirsium edule Nutt.,1,1
Cirsium ehrenbergii,resolved_unique_accepted_key,206744000,Cirsium ehrenbergii Sch.Bip.,1,1
Cirsium elbrusense,resolved_unique_accepted_key,206743994,Cirsium elbrusense Sommier & Levier,1,1
Cirsium elodes,resolved_unique_accepted_key,206745653,Cirsium elodes M.Bieb.,1,1
Cirsium engelmannii,resolved_unique_accepted_key,206743972,Cirsium engelmannii Rydb.,1,1
Cirsium eriophoroides,resolved_unique_accepted_key,206743958,Cirsium eriophoroides (Hook.f.) Petr.,1,1
Cirsium erisithales,resolved_unique_accepted_key,206743772,Cirsium erisithales (Jacq.) Scop.,1,1
Cirsium erythrolepis,unresolved,,,2,2
Cirsium esculentum,resolved_unique_accepted_key,206744771,Cirsium esculentum (Siev.) C.A.Mey.,1,1
Cirsium euxinum,resolved_unique_accepted_key,206744768,Cirsium euxinum Kharadze,1,1
Cirsium falconeri,resolved_unique_accepted_key,206744738,Cirsium falconeri (Hook.f.) Petr.,1,1
Cirsium faucium,resolved_unique_accepted_key,206743559,Cirsium faucium Petr.,1,1
Cirsium ferum,resolved_unique_accepted_key,206739202,Cirsium ferum Kitam.,1,1
Cirsium filipendulum,unresolved,,,2,2
Cirsium flodmanii,resolved_unique_accepted_key,206743475,Cirsium flodmanii Arthur,1,1
Cirsium foliosum,resolved_unique_accepted_key,206743465,Cirsium foliosum DC.,2,1
Cirsium funkiae,resolved_unique_accepted_key,209721670,Cirsium funkiae Ackerf.,1,1
Cirsium gagnidzei,resolved_unique_accepted_key,206743411,Cirsium gagnidzei Kharadze,1,1
Cirsium gilense,resolved_unique_accepted_key,206741829,Cirsium parryi Petr.,1,1
Cirsium glabrum,resolved_unique_accepted_key,206743392,Cirsium glabrum DC.,1,1
Cirsium grahamii,resolved_unique_accepted_key,206743377,Cirsium grahamii A.Gray,1,1
Cirsium gratiosum,resolved_unique_accepted_key,206743372,Cirsium gratiosum Kitam.,1,1
Cirsium greimleri,resolved_unique_accepted_key,206738505,Cirsium greimleri Bureš,1,1
Cirsium griseum,unresolved,,,2,2
Cirsium hachijoense,resolved_unique_accepted_key,206743354,Cirsium hachijoense Nakai,1,1
Cirsium hachimantaiense,resolved_unique_accepted_key,206743351,Cirsium hachimantaiense Kadota,1,1
Cirsium harrisonii,resolved_unique_accepted_key,206738408,Cirsium harrisonii (S.L.Welsh) Ackerf. & D.J.Keil,1,1
Cirsium helenioides,unresolved,,,2,2
Cirsium heliorhaphis,resolved_unique_accepted_key,231083317,Cirsium heliorhaphis G.L.Nesom,1,1
Cirsium hesperium,resolved_unique_accepted_key,206744091,Cirsium hesperium (Eastw.) Rydb.,1,1
Cirsium heterophyllum,resolved_unique_accepted_key,206743213,Cirsium heterophyllum (L.) Hill,1,1
Cirsium heterotrichum,resolved_unique_accepted_key,206743210,Cirsium heterotrichum Pančić,1,1
Cirsium hidakamontanum,resolved_unique_accepted_key,206743207,Cirsium hidakamontanum Kadota,1,1
Cirsium hidalgoense,resolved_unique_accepted_key,231083319,Cirsium hidalgoense G.L.Nesom,1,1
Cirsium hookerianum,resolved_unique_accepted_key,206743186,Cirsium hookerianum Nutt.,1,1
Cirsium horridulum,resolved_unique_accepted_key,206743117,Cirsium horridulum Michx.,1,1
Cirsium hosokawae,resolved_unique_accepted_key,206739103,Cirsium hosokawae Kitam.,1,1
Cirsium hupehense,resolved_unique_accepted_key,206742633,Cirsium lineare (Thunb.) Sch.Bip.,1,1
Cirsium hydrophilum,resolved_unique_accepted_key,206743088,Cirsium hydrophilum Jeps.,1,1
Cirsium hygropodum,resolved_unique_accepted_key,209721657,Cirsium hygropodum G.L.Nesom,1,1
Cirsium hypoleucum,resolved_unique_accepted_key,206743080,Cirsium hypoleucum DC.,1,1
Cirsium inamoenum,resolved_unique_accepted_key,206743043,Cirsium inamoenum (Greene) D.J.Keil,1,1
Cirsium irumtiense,resolved_unique_accepted_key,206745753,Cirsium brevicaule A.Gray,1,1
Cirsium isophyllum,resolved_unique_accepted_key,206743015,Cirsium isophyllum (Petr.) Grossh.,1,1
Cirsium italicum,resolved_unique_accepted_key,206743002,Cirsium italicum DC.,1,1
Cirsium jaliscoense,resolved_unique_accepted_key,209721655,Cirsium jaliscoense G.L.Nesom,1,1
Cirsium japonicum,resolved_unique_accepted_key,206744930,Cirsium japonicum DC.,1,1
Cirsium joannae,resolved_unique_accepted_key,206742996,"Cirsium joannae S.L.Welsh, N.D.Atwood & L.C.Higgins",1,1
Cirsium jorullense,resolved_unique_accepted_key,206742971,Cirsium jorullense Spreng.,1,1
Cirsium kamtschaticum,resolved_unique_accepted_key,206742945,Cirsium kamtschaticum Ledeb. ex DC.,1,1
Cirsium kawakamii,resolved_unique_accepted_key,206744933,Cirsium japonicum var. japonicum,1,1
Cirsium kirishimense,resolved_unique_accepted_key,206742927,Cirsium kirishimense Kadota & Mas.Saito,1,1
Cirsium komarovii,resolved_unique_accepted_key,206742907,Cirsium komarovii Schischk.,1,1
Cirsium kosmelii,resolved_unique_accepted_key,206742886,Cirsium kosmelii (Adams) Fisch. ex Hohen.,1,1
Cirsium laniflorum,resolved_unique_accepted_key,206743717,Cirsium laniflorum (M.Bieb.) Fisch.,1,1
Cirsium latifolium,resolved_unique_accepted_key,206743703,Cirsium latifolium Lowe,1,1
Cirsium lecontei,resolved_unique_accepted_key,206743688,Cirsium lecontei Torr. & A.Gray,1,1
Cirsium leo,resolved_unique_accepted_key,206743672,Cirsium leo Nakai & Kitag.,1,1
Cirsium leucocephalum,resolved_unique_accepted_key,206743569,Cirsium leucocephalum (Willd.) Spreng.,1,1
Cirsium libanoticum,resolved_unique_accepted_key,206742725,Cirsium libanoticum DC.,1,1
Cirsium ligulare,resolved_unique_accepted_key,206742695,Cirsium ligulare Boiss.,1,1
Cirsium lineare,resolved_unique_accepted_key,206742633,Cirsium lineare (Thunb.) Sch.Bip.,1,1
Cirsium lipskyi,unresolved,,,2,2
Cirsium lomatolepis,resolved_unique_accepted_key,206742612,Cirsium lomatolepis Petr.,1,1
Cirsium loncholepis,resolved_unique_accepted_key,206741097,Cirsium loncholepis Petr.,1,1
Cirsium longistylum,resolved_unique_accepted_key,206742606,Cirsium longistylum R.J.Moore & Frankton,1,1
Cirsium luzoniense,resolved_unique_accepted_key,206742568,Cirsium luzoniense Merr.,1,1
Cirsium maackii,resolved_unique_accepted_key,206742550,Cirsium maackii Maxim.,1,1
Cirsium macrobotrys,resolved_unique_accepted_key,206742544,Cirsium macrobotrys (K.Koch) Boiss.,1,1
Cirsium macrocephalum,resolved_unique_accepted_key,206742538,Cirsium macrocephalum C.A.Mey.,1,1
Cirsium magdalenense,resolved_unique_accepted_key,231083318,Cirsium magdalenense G.L.Nesom,1,1
Cirsium maritimum,unresolved,,,3,2
Cirsium mexicanum,resolved_unique_accepted_key,206745378,Cirsium mexicanum DC.,1,1
Cirsium michiliense,resolved_unique_accepted_key,209721651,Cirsium michiliense G.L.Nesom,1,1
Cirsium mohavense,resolved_unique_accepted_key,206742857,Cirsium mohavense (Greene) Petr.,2,1
Cirsium monocephalum,resolved_unique_accepted_key,206742846,Cirsium monocephalum H.Lév.,1,1
Cirsium monspessulanum,resolved_unique_accepted_key,206742811,Cirsium monspessulanum (L.) Hill,1,1
Cirsium morii,resolved_unique_accepted_key,206738938,Cirsium morii Hayata,1,1
Cirsium morinifolium,resolved_unique_accepted_key,206742505,Cirsium morinifolium Boiss. & Heldr.,1,1
Cirsium murdockii,resolved_unique_accepted_key,206744146,Cirsium tweedyi (Rydb.) Rydb.,1,1
Cirsium muticum,resolved_unique_accepted_key,206742455,Cirsium muticum Michx.,1,1
Cirsium myokoense,resolved_unique_accepted_key,206742453,Cirsium myokoense Kadota,1,1
Cirsium nambuense,resolved_unique_accepted_key,206742444,Cirsium nambuense Nakai,1,1
Cirsium neomexicanum,resolved_unique_accepted_key,206742403,Cirsium neomexicanum A.Gray,1,1
Cirsium nipponicum,resolved_unique_accepted_key,206742325,Cirsium nipponicum Makino,1,1
Cirsium nivale,resolved_unique_accepted_key,206742313,Cirsium nivale (Kunth) F.Dietr.,1,1
Cirsium norikurense,resolved_unique_accepted_key,206742308,Cirsium norikurense Nakai,1,1
Cirsium notorhaphis,resolved_unique_accepted_key,209721663,Cirsium notorhaphis G.L.Nesom,1,1
Cirsium novoleonense,resolved_unique_accepted_key,209721660,Cirsium novoleonense G.L.Nesom & García-Mor.,1,1
Cirsium nuttallii,resolved_unique_accepted_key,206742291,Cirsium nuttallii DC.,1,1
Cirsium oaxacanum,resolved_unique_accepted_key,231083320,Cirsium oaxacanum G.L.Nesom,1,1
Cirsium obvallatum,resolved_unique_accepted_key,206742276,Cirsium obvallatum (M.Bieb.) M.Bieb.,1,1
Cirsium occidentale,resolved_unique_accepted_key,206742170,Cirsium occidentale (Nutt.) Jeps.,1,1
Cirsium ochrocentrum,resolved_unique_accepted_key,206742138,Cirsium ochrocentrum A.Gray,1,1
Cirsium oleraceum,resolved_unique_accepted_key,206742045,Cirsium oleraceum (L.) Scop.,1,1
Cirsium oligophyllum,resolved_unique_accepted_key,206742024,Cirsium oligophyllum Matsum.,1,1
Cirsium opacum,resolved_unique_accepted_key,206742018,Cirsium opacum (Kitam.) Kadota,1,1
Cirsium osseticum,resolved_unique_accepted_key,206742751,Cirsium osseticum (Adams) Petr.,1,1
Cirsium otayae,resolved_unique_accepted_key,206742010,Cirsium otayae Kitam.,1,1
Cirsium ownbeyi,resolved_unique_accepted_key,206742007,Cirsium ownbeyi S.L.Welsh,1,1
