taxon_name,n_observations,n_northern,n_southern,sampled_both_hemispheres
Cirsium vulgare,13207,11201,2006,True
Cirsium arvense,11795,11507,288,True
Cirsium palustre,3583,3521,62,True
Cirsium oleraceum,2014,2014,0,False
Cirsium heterophyllum,1696,1696,0,False
Cirsium horridulum,1437,1437,0,False
Cirsium discolor,1225,1225,0,False
Cirsium undulatum,773,773,0,False
Cirsium acaulon,633,633,0,False
Cirsium altissimum,627,627,0,False
Cirsium muticum,618,618,0,False
Cirsium texanum,470,470,0,False
Cirsium occidentale,385,385,0,False
Cirsium esculentum,373,373,0,False
Cirsium scariosum,330,330,0,False
Cirsium canum,326,326,0,False
Cirsium rivulare,320,320,0,False
Cirsium nuttallii,288,288,0,False
Cirsium flodmanii,284,284,0,False
Cirsium neomexicanum,273,273,0,False
Cirsium serrulatum,268,268,0,False
Cirsium erisithales,250,250,0,False
Cirsium ochrocentrum,198,198,0,False
Cirsium japonicum,196,196,0,False
Cirsium spinosissimum,188,188,0,False
Cirsium helenioides,181,181,0,False
Cirsium brevistylum,180,180,0,False
Cirsium pumilum,176,176,0,False
Cirsium edule,152,152,0,False
Cirsium mexicanum,142,142,0,False
Cirsium hookerianum,138,138,0,False
Cirsium arizonicum,127,127,0,False
Cirsium carolinianum,117,117,0,False
Cirsium ehrenbergii,111,111,0,False
Cirsium canescens,103,103,0,False
Cirsium kamtschaticum,103,103,0,False
Cirsium drummondii,99,99,0,False
Cirsium serratuloides,94,94,0,False
Cirsium dissectum,91,91,0,False
Cirsium monspessulanum,90,90,0,False
Cirsium cymosum,88,88,0,False
Cirsium pannonicum,87,87,0,False
Cirsium andersonii,85,85,0,False
Cirsium subcoriaceum,83,83,0,False
Cirsium rhaphilepis,82,82,0,False
Cirsium obvallatum,80,80,0,False
Cirsium parryi,72,72,0,False
Cirsium ukranicum,69,69,0,False
Cirsium repandum,67,67,0,False
Cirsium ciliatum,65,65,0,False
Cirsium tuberosum,65,65,0,False
Cirsium echinus,62,62,0,False
Cirsium filipendulum,60,60,0,False
Cirsium pendulum,54,54,0,False
Cirsium wheeleri,53,53,0,False
Cirsium engelmannii,49,49,0,False
Cirsium brachycephalum,45,45,0,False
Cirsium mohavense,45,45,0,False
Cirsium remotifolium,41,41,0,False
Cirsium alsophilum,34,34,0,False
Cirsium townsendii,30,30,0,False
Cirsium foliosum,29,29,0,False
Cirsium candelabrum,28,28,0,False
Cirsium douglasii,27,27,0,False
Cirsium quercetorum,27,27,0,False
Cirsium funkiae,26,26,0,False
Cirsium alatum,25,25,0,False
Cirsium coloradense,25,25,0,False
Cirsium pugnax,25,25,0,False
Cirsium brevicaule,23,23,0,False
Cirsium vlassovianum,23,23,0,False
Cirsium centaureae,22,22,0,False
Cirsium rhizocephalum,22,22,0,False
Cirsium waldsteinii,22,22,0,False
Cirsium oligophyllum,20,20,0,False
Cirsium conspicuum,19,19,0,False
Cirsium creticum,19,19,0,False
Cirsium anartiolepis,18,18,0,False
Cirsium scopulorum,18,18,0,False
Cirsium arisanense,17,17,0,False
Cirsium carniolicum,17,17,0,False
Cirsium ligulare,17,17,0,False
Cirsium nivale,17,17,0,False
Cirsium pyrenaicum,17,17,0,False
Cirsium greimleri,16,16,0,False
Cirsium griseum,16,16,0,False
Cirsium simplex,16,16,0,False
Cirsium argillosum,15,15,0,False
Cirsium lecontei,15,15,0,False
Cirsium semenowii,15,15,0,False
Cirsium virginianum,15,15,0,False
Cirsium hypoleucum,14,14,0,False
Cirsium maritimum,14,14,0,False
Cirsium purpuratum,14,14,0,False
Cirsium schantarense,14,14,0,False
Cirsium maackii,13,13,0,False
Cirsium phyllocephalum,13,13,0,False
Cirsium hesperium,12,12,0,False
Cirsium pitcheri,12,12,0,False
Cirsium pulcherrimum,12,12,0,False
Cirsium tracyi,12,12,0,False
Cirsium laniflorum,11,11,0,False
Cirsium roseolum,11,11,0,False
Cirsium brevifolium,10,10,0,False
Cirsium clavatum,10,10,0,False
Cirsium eatonii,10,10,0,False
Cirsium grahamii,10,10,0,False
Cirsium pacificum,10,10,0,False
Cirsium sieboldii,10,10,0,False
Cirsium inamoenum,9,9,0,False
Cirsium jaliscoense,9,9,0,False
Cirsium verutum,9,9,0,False
Cirsium appendiculatum,8,8,0,False
Cirsium chlorocomos,8,8,0,False
Cirsium dealbatum,8,8,0,False
Cirsium ferum,8,8,0,False
Cirsium glabrum,8,8,0,False
Cirsium novoleonense,8,8,0,False
Cirsium sairamense,8,8,0,False
Cirsium suzukii,8,8,0,False
Cirsium acrolepis,7,7,0,False
Cirsium coryletorum,7,7,0,False
Cirsium kosmelii,7,7,0,False
Cirsium pringlei,7,7,0,False
Cirsium setidens,7,7,0,False
Cirsium turkestanicum,7,7,0,False
Cirsium calcareum,6,6,0,False
Cirsium cephalotes,6,6,0,False
Cirsium culebraense,6,6,0,False
Cirsium euxinum,6,6,0,False
Cirsium jorullense,6,6,0,False
Cirsium lomatolepis,6,6,0,False
Cirsium sieversii,6,6,0,False
Cirsium sorocephalum,6,6,0,False
Cirsium subuliforme,6,6,0,False
Cirsium tioganum,6,6,0,False
Cirsium turneri,6,6,0,False
Cirsium tweedyi,6,6,0,False
Cirsium andrewsii,5,5,0,False
Cirsium coahuilense,5,5,0,False
Cirsium falconeri,5,5,0,False
Cirsium heliorhaphis,5,5,0,False
Cirsium italicum,5,5,0,False
Cirsium kawakamii,5,5,0,False
Cirsium pinetorum,5,5,0,False
Cirsium souliei,5,5,0,False
Cirsium tatakaense,5,5,0,False
Cirsium velatum,5,5,0,False
Cirsium barnebyi,4,4,0,False
Cirsium consociatum,4,4,0,False
Cirsium eriophoroides,4,4,0,False
Cirsium hygropodum,4,4,0,False
Cirsium irumtiense,4,4,0,False
Cirsium leo,4,4,0,False
Cirsium lipskyi,4,4,0,False
Cirsium osseticum,4,4,0,False
Cirsium peckii,4,4,0,False
Cirsium perplexans,4,4,0,False
Cirsium suzukaense,4,4,0,False
Cirsium sychnosanthum,4,4,0,False
Cirsium tukuhnikivatzicum,4,4,0,False
Cirsium tymphaeum,4,4,0,False
Cirsium aomorense,3,3,0,False
Cirsium bertolonii,3,3,0,False
Cirsium bicentenariale,3,3,0,False
Cirsium ciliolatum,3,3,0,False
Cirsium clokeyi,3,3,0,False
Cirsium czerkessicum,3,3,0,False
Cirsium elbrusense,3,3,0,False
Cirsium erythrolepis,3,3,0,False
Cirsium hidalgoense,3,3,0,False
Cirsium hupehense,3,3,0,False
