"trait","term","n_groups","n_positive","n_negative","n_credible_95","sign_consistent","min_abs_mean","max_abs_mean"
"corolla_hue_cos_median","chelsa_bio01",4,0,4,4,TRUE,0.026769813646284,0.0446776715152276
"corolla_hue_cos_median","chelsa_bio04",4,0,4,2,TRUE,0.0143344755634621,0.0469022220665935
"corolla_hue_cos_median","chelsa_bio12",4,0,4,1,TRUE,0.00258763541802309,0.0175758640484232
"corolla_hue_cos_median","chelsa_bio15",4,0,4,0,TRUE,0.0133523573334911,0.0176636321636427
"corolla_hue_cos_median","soil_bdod_0_30cm",2,2,0,1,TRUE,0.0230042645050278,0.0260042049333031
"corolla_hue_cos_median","soil_cec_0_30cm",2,2,0,0,TRUE,0.00820377538082454,0.0082942569423886
"corolla_hue_cos_median","soil_cfvo_0_30cm",2,2,0,0,TRUE,0.00514337051957233,0.00717406322596935
"corolla_hue_cos_median","soil_clay_0_30cm",2,2,0,0,TRUE,0.0109924603350202,0.011037100631108
"corolla_hue_cos_median","soil_nitrogen_0_30cm",2,2,0,0,TRUE,0.0140796872325891,0.0148440726488726
"corolla_hue_cos_median","soil_ocd_0_30cm",2,2,0,0,TRUE,0.0141990740823306,0.0156116731460902
"corolla_hue_cos_median","soil_phh2o_0_30cm",2,2,0,2,TRUE,0.0445985597057305,0.0453861824407516
"corolla_hue_cos_median","soil_sand_0_30cm",2,2,0,2,TRUE,0.0264043853172817,0.026564731911882
"corolla_hue_cos_median","soil_soc_0_30cm",2,0,2,0,TRUE,0.00305678493899121,0.00451838754348317
"corolla_hue_cos_median","topo_elevation",2,2,0,0,TRUE,0.0107173541143702,0.0130485357273216
"corolla_hue_cos_median","topo_slope",2,0,2,0,TRUE,0.00994910540746611,0.0124244825429929
"corolla_hue_sin_median","chelsa_bio01",4,3,1,1,FALSE,0.0104522175795637,0.0330230618244173
"corolla_hue_sin_median","chelsa_bio04",4,4,0,3,TRUE,0.0122340874917276,0.0526485168441979
"corolla_hue_sin_median","chelsa_bio12",4,1,3,0,FALSE,0.00106378296147607,0.0124979505121508
"corolla_hue_sin_median","chelsa_bio15",4,2,2,0,FALSE,0.000750490692322306,0.00396058890972091
"corolla_hue_sin_median","soil_bdod_0_30cm",2,2,0,0,TRUE,0.019831327189932,0.020739205638495
"corolla_hue_sin_median","soil_cec_0_30cm",2,2,0,0,TRUE,0.00510351401193964,0.00720553025405327
"corolla_hue_sin_median","soil_cfvo_0_30cm",2,0,2,0,TRUE,0.00486056042096038,0.00973551472984293
"corolla_hue_sin_median","soil_clay_0_30cm",2,0,2,0,TRUE,0.0102178785942326,0.012024995751408
"corolla_hue_sin_median","soil_nitrogen_0_30cm",2,0,2,0,TRUE,0.00726814426674888,0.00752101028423721
"corolla_hue_sin_median","soil_ocd_0_30cm",2,0,2,0,TRUE,0.0157304777935817,0.0171935181806943
"corolla_hue_sin_median","soil_phh2o_0_30cm",2,2,0,0,TRUE,0.00348072232996502,0.00528291216878835
"corolla_hue_sin_median","soil_sand_0_30cm",2,0,2,0,TRUE,0.0187781235578991,0.0200681698099486
"corolla_hue_sin_median","soil_soc_0_30cm",2,2,0,0,TRUE,0.00182803220178208,0.00472507855464347
"corolla_hue_sin_median","topo_elevation",2,0,2,1,TRUE,0.0201445074297815,0.0281926606779087
"corolla_hue_sin_median","topo_slope",2,0,2,0,TRUE,0.00611557831319973,0.0113975248893413
"corolla_lab_chroma_median","chelsa_bio01",4,0,4,4,TRUE,0.0287319177296435,0.0331265885262054
"corolla_lab_chroma_median","chelsa_bio04",4,0,4,0,TRUE,0.0116949914525343,0.0197427556820866
"corolla_lab_chroma_median","chelsa_bio12",4,4,0,4,TRUE,0.0194390932372838,0.0266451521827551
"corolla_lab_chroma_median","chelsa_bio15",4,4,0,0,TRUE,0.0142960905818278,0.0162727269523996
"corolla_lab_chroma_median","soil_bdod_0_30cm",2,0,2,0,TRUE,0.00435588130745873,0.00497641953033357
"corolla_lab_chroma_median","soil_cec_0_30cm",2,0,2,0,TRUE,0.00468344412537555,0.00511593306226807
"corolla_lab_chroma_median","soil_cfvo_0_30cm",2,0,2,0,TRUE,0.00485095753924731,0.00573126188064855
"corolla_lab_chroma_median","soil_clay_0_30cm",2,2,0,0,TRUE,0.0133687219727587,0.0134123544412156
"corolla_lab_chroma_median","soil_nitrogen_0_30cm",2,2,0,2,TRUE,0.0257202209532064,0.0257738042789994
"corolla_lab_chroma_median","soil_ocd_0_30cm",2,2,0,0,TRUE,0.0145696751468969,0.0149864061163285
"corolla_lab_chroma_median","soil_phh2o_0_30cm",2,0,2,0,TRUE,0.00616540853327381,0.00665071879682902
"corolla_lab_chroma_median","soil_sand_0_30cm",2,0,2,0,TRUE,0.00543031620146951,0.00544515966191176
"corolla_lab_chroma_median","soil_soc_0_30cm",2,0,2,2,TRUE,0.0282258395913626,0.0288304274873975
"corolla_lab_chroma_median","topo_elevation",2,0,2,0,TRUE,0.0047963763959602,0.00671618521721608
"corolla_lab_chroma_median","topo_slope",2,2,0,0,TRUE,0.00326507694777341,0.00386911696454861
"corolla_lab_lightness_median","chelsa_bio01",4,4,0,4,TRUE,0.0493679478403655,0.0751876218712474
"corolla_lab_lightness_median","chelsa_bio04",4,4,0,0,TRUE,0.00268119749235245,0.0213976950317225
"corolla_lab_lightness_median","chelsa_bio12",4,2,2,0,FALSE,0.000135804357945288,0.00713029353223197
"corolla_lab_lightness_median","chelsa_bio15",4,0,4,0,TRUE,0.00245298088745095,0.0082352154208543
"corolla_lab_lightness_median","soil_bdod_0_30cm",2,0,2,2,TRUE,0.0255327172157523,0.0270852912328391
"corolla_lab_lightness_median","soil_cec_0_30cm",2,2,0,0,TRUE,0.00125714484042173,0.00244940948679696
"corolla_lab_lightness_median","soil_cfvo_0_30cm",2,0,2,0,TRUE,0.00860298763177723,0.0120516092341015
"corolla_lab_lightness_median","soil_clay_0_30cm",2,0,2,0,TRUE,0.00751962973863161,0.00847327085836605
