trait,label,n_heads,n_photos,n_taxa,among_species_fraction,among_photos_within_species_fraction,among_heads_within_photo_fraction,within_assigned_species_fraction,within_assigned_species_ci95_low,within_assigned_species_ci95_high,one_head_per_photo_within_fraction,balanced_10_photo_within_median,balanced_10_photo_ci95_low,balanced_10_photo_ci95_high
orientation_angle_degrees,Orientation,4585,2839,214,0.131483,0.566162,0.302355,0.868517,0.847587,0.890213,0.847107,0.822124,0.795836,0.846598
corolla_lab_lightness,Lightness,5777,3327,215,0.296982,0.559772,0.143246,0.703018,0.663114,0.747203,0.706217,0.663477,0.630258,0.692608
corolla_lab_chroma,Chroma,5777,3327,215,0.299897,0.522937,0.177166,0.700103,0.654016,0.746174,0.681182,0.643053,0.612557,0.673839
corolla_hue_sin,Hue sine,5772,3325,215,0.411379,0.439957,0.148663,0.588621,0.537064,0.645491,0.581571,0.528419,0.497097,0.558066
corolla_hue_cos,Hue cosine,5772,3325,215,0.157337,0.690721,0.151942,0.842663,0.801309,0.877047,0.827537,0.808581,0.777048,0.832898
shape_aspect_ratio,Aspect ratio,5324,3147,215,0.072544,0.548860,0.378597,0.927456,0.909589,0.942975,0.894006,0.859365,0.831590,0.885497
shape_circularity,Circularity,5324,3147,215,0.098217,0.581677,0.320106,0.901783,0.877862,0.923574,0.883502,0.866647,0.842955,0.885470
shape_solidity,Solidity,5324,3147,215,0.085229,0.586410,0.328360,0.914771,0.896441,0.931453,0.887222,0.859586,0.836573,0.879710
shape_width_cv,Width-profile CV,5324,3147,215,0.069260,0.597114,0.333626,0.930740,0.911174,0.947553,0.898510,0.879137,0.858905,0.896182
