"mean","sd","0.025quant","0.5quant","0.975quant","mode","parameter","trait","model_group"
1.0330399723614,0.00840234054108663,1.01544857944919,1.03339332415732,1.04841008811564,1.03516801712771,"Precision for the Gaussian observations","orientation_angle_degrees_median","climate"
16.6910234516565,3.2576232803634,11.3971549304166,16.3174563442401,24.1680261884691,15.4934638748012,"Precision for species","orientation_angle_degrees_median","climate"
2150.28552367465,2339.95607675912,152.899706275474,1422.21641260319,8362.82330585143,421.212954067819,"Range for spatial","orientation_angle_degrees_median","climate"
0.206712739335241,0.327758117864324,0.0207793255945324,0.113674741179256,0.989830523769069,0.047668148209777,"Stdev for spatial","orientation_angle_degrees_median","climate"
1.02887748024954,0.0082092920557895,1.01255128095517,1.02893266403193,1.04487267998309,1.0292403266226,"Precision for the Gaussian observations","orientation_angle_degrees_median","climate_topography"
16.6177588365157,3.22977843311488,11.005473149286,16.3657944274028,23.6660764036994,15.9563375887269,"Precision for species","orientation_angle_degrees_median","climate_topography"
3312.93721912061,944.491964574128,1881.15225361947,3172.41151452675,5566.93239605543,2896.86454382703,"Range for spatial","orientation_angle_degrees_median","climate_topography"
0.0605007251348104,0.0167879802936958,0.0341321615610168,0.0582882671814711,0.0996889596629623,0.0540988062979477,"Stdev for spatial","orientation_angle_degrees_median","climate_topography"
1.03172538662252,0.00838158243899501,1.01605064302527,1.03145578716445,1.04902039504118,1.03033219274854,"Precision for the Gaussian observations","orientation_angle_degrees_median","climate_soil"
16.7081093112294,3.30128620571332,10.8680458437564,16.4842550392738,23.7956333496658,16.1947866869825,"Precision for species","orientation_angle_degrees_median","climate_soil"
357.056796424613,166.849998562482,139.103897215764,322.326948441923,779.955936253352,263.680794171259,"Range for spatial","orientation_angle_degrees_median","climate_soil"
0.0791415106806753,0.0184137708624204,0.0524060080207734,0.0762092524679849,0.124009002449598,0.0688693506957703,"Stdev for spatial","orientation_angle_degrees_median","climate_soil"
1.02885161563083,0.00821750389204402,1.01246254285849,1.02892253522876,1.04481514212253,1.02929969247361,"Precision for the Gaussian observations","orientation_angle_degrees_median","full"
15.4921839732945,3.01520004794035,10.0514307605349,15.3224909778929,21.8420700371645,15.2032657640996,"Precision for species","orientation_angle_degrees_median","full"
1593.34239470778,464.46216709658,908.938716361069,1518.69301920751,2718.73230140926,1367.91063927139,"Range for spatial","orientation_angle_degrees_median","full"
0.0421351492881171,0.0114640823996195,0.0228647276508993,0.0410187993778871,0.0675762311311726,0.0392052258812494,"Stdev for spatial","orientation_angle_degrees_median","full"
1.27394638681423,0.0098873650019294,1.25422100378726,1.27403375347669,1.29314781913196,1.2744938376759,"Precision for the Gaussian observations","corolla_lab_lightness_median","climate"
3.6904448323593,0.538129537783151,2.73492577721224,3.65514094040854,4.84881960873035,3.59145807094094,"Precision for species","corolla_lab_lightness_median","climate"
1039.77073811566,205.777011776359,710.442095970946,1014.67105956376,1516.512021789,957.33257498353,"Range for spatial","corolla_lab_lightness_median","climate"
0.234990785966055,0.0222861882336153,0.195358410378807,0.233550455229195,0.283017577559321,0.229874215762065,"Stdev for spatial","corolla_lab_lightness_median","climate"
1.27398428622936,0.00987524852439698,1.25459307041017,1.27396670878475,1.29347518152183,1.27397620089524,"Precision for the Gaussian observations","corolla_lab_lightness_median","climate_topography"
3.74802743203944,0.555779423070453,2.77238919161176,3.7077747404306,4.95563036307141,3.62902841021252,"Precision for species","corolla_lab_lightness_median","climate_topography"
1030.52560352431,195.621421848079,712.03568661617,1008.29878032334,1479.00832235257,958.495779581752,"Range for spatial","corolla_lab_lightness_median","climate_topography"
