endpoint,predictor,direction,stability_scope,notes
orientation_angle,BIO1,positive,stable_supported_pattern,orientation and visible colour retain the clearest spatial-model environmental structure
corolla_lightness,BIO1,positive,stable_supported_pattern,colour effect
corolla_lightness,soil_pH,negative,stable_supported_pattern,soil effect emerges in wider predictor sets
corolla_chroma,BIO1,negative,stable_supported_pattern,colour effect
corolla_chroma,BIO12,positive,stable_supported_pattern,colour effect
hue_sin,BIO4,positive,stable_supported_pattern,circular component; joint interpretation required
hue_cos,BIO1,negative,stable_supported_pattern,circular component; joint interpretation required
hue_cos,soil_pH,positive,stable_supported_pattern,circular component; joint interpretation required
gross_outline,all_environmental_predictors,none,global_BH_support_zero,aspect ratio circularity solidity and width-profile CV had no global BH-supported SPDE effect
