"trait","model_group","status","n_observations","n_species","n_predictors","n_mesh_vertices","waic","dic","cpo_failures","delta_waic_within_trait","delta_dic_within_trait"
"orientation_angle_degrees_median","climate","ok",31666,140,4,4182,89076.1168604032,89078.6799575135,0,0,3.51734330745239
"orientation_angle_degrees_median","climate_topography","ok",31666,140,6,4182,89076.7138902311,89078.4545536104,0,0.597029827928054,3.29193940438563
"orientation_angle_degrees_median","climate_soil","ok",31666,140,13,4182,89079.0640570766,89075.162614206,0,2.94719667339814,0
"orientation_angle_degrees_median","full","ok",31666,140,15,4182,89088.5895258685,89090.468312065,0,12.4726654653059,15.3056978589593
"corolla_lab_lightness_median","climate","ok",34472,141,4,4182,89914.5167519059,89917.469122319,0,9.78572199758491,12.1661569906573
"corolla_lab_lightness_median","climate_topography","ok",34472,141,6,4182,89917.4829443166,89917.9601071124,0,12.7519144082762,12.657141784046
"corolla_lab_lightness_median","climate_soil","ok",34472,141,13,4182,89904.7310299083,89905.3029653283,0,0,0
"corolla_lab_lightness_median","full","ok",34472,141,15,4182,89907.0323164465,89907.3031355502,0,2.30128653820429,2.00017022191605
"corolla_lab_chroma_median","climate","ok",34472,141,4,4182,91640.7536526583,91667.201110756,0,2.07182070436829,2.15213636610133
"corolla_lab_chroma_median","climate_topography","ok",34472,141,6,4182,91640.5401638052,91667.593235829,0,1.8583318512392,2.54426143901946
"corolla_lab_chroma_median","climate_soil","ok",34472,141,13,4182,91639.1724637353,91665.0489743899,0,0.490631781329284,0
"corolla_lab_chroma_median","full","ok",34472,141,15,4182,91638.6818319539,91665.398481773,0,0,0.349507383041782
"corolla_hue_sin_median","climate","ok",34466,141,4,4182,91034.527595551,91059.1355618146,0,0,0
"corolla_hue_sin_median","climate_topography","ok",34466,141,6,4182,91035.2296747558,91061.8065252729,0,0.702079204740585,2.67096345830942
"corolla_hue_sin_median","climate_soil","ok",34466,141,13,4182,91036.1100408402,91060.8073883187,0,1.58244528921205,1.67182650408358
"corolla_hue_sin_median","full","ok",34466,141,15,4182,91038.9421686886,91064.3107699852,0,4.41457313757564,5.17520817054901
"corolla_hue_cos_median","climate","ok",34466,141,4,4182,95899.7256329166,95919.1086056755,0,36.6269985530089,37.7573331025924
"corolla_hue_cos_median","climate_topography","ok",34466,141,6,4182,95893.3001917085,95912.4489054931,0,30.2015573448734,31.0976329201512
"corolla_hue_cos_median","climate_soil","ok",34466,141,13,4182,95863.0986343636,95881.351272573,0,0,0
"corolla_hue_cos_median","full","ok",34466,141,15,4182,95867.5380454735,95886.7359595328,0,4.43941110985179,5.38468695980555
"shape_aspect_ratio_median","climate","ok",32771,139,4,4182,92145.8443760058,92776.4357190539,0,0,0
"shape_aspect_ratio_median","climate_topography","ok",32771,139,6,4182,92146.2273012587,92777.6466154403,0,0.382925252924906,1.2108963864157
"shape_aspect_ratio_median","climate_soil","ok",32771,139,13,4182,92158.3528914673,92786.4998896152,0,12.5085154615808,10.0641705612652
"shape_aspect_ratio_median","full","ok",32771,139,15,4182,92157.785618276,92787.5683086421,0,11.9412422702444,11.1325895881891
"shape_circularity_median","climate","ok",32771,139,4,4182,92270.2482734383,92268.9143246872,0,0,0
"shape_circularity_median","climate_topography","ok",32771,139,6,4182,92270.6445333134,92269.5105814489,0,0.396259875153191,0.596256761695258
"shape_circularity_median","climate_soil","ok",32771,139,13,4182,92281.5659672551,92280.5067301506,0,11.3176938168763,11.5924054634379
"shape_circularity_median","full","ok",32771,139,15,4182,92282.9369381899,92281.8914915992,0,12.6886647516658,12.9771669120091
"shape_solidity_median","climate","ok",32771,139,4,4182,92121.2275665431,92121.4816575148,0,0,0
"shape_solidity_median","climate_topography","ok",32771,139,6,4182,92123.0692717249,92123.0387751804,0,1.84170518186875,1.55711766556487
"shape_solidity_median","climate_soil","ok",32771,139,13,4182,92135.7961344802,92136.289651699,0,14.5685679371236,14.8079941842589
"shape_solidity_median","full","ok",32771,139,15,4182,92138.1216984539,92139.4680066397,0,16.8941319108126,17.9863491249271
"shape_width_cv_median","climate","ok",32771,139,4,4182,92441.3483193682,92438.6767417862,0,0,0
"shape_width_cv_median","climate_topography","ok",32771,139,6,4182,92443.4494462318,92440.634699237,0,2.10112686363573,1.95795745088253
"shape_width_cv_median","climate_soil","ok",32771,139,13,4182,92452.2159358887,92449.6847115756,0,10.8676165204815,11.0079697894689
"shape_width_cv_median","full","ok",32771,139,15,4182,92454.0092037829,92451.3760891687,0,12.6608844146976,12.6993473825569
