mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,term,trait,model_group,posterior_tail_area_two_sided,q_bh_posterior_tail_global,q_bh_posterior_tail_within_group,credible_95_excludes_zero
0.0361183894108695,0.0088320875945225,0.0190557369191962,0.0360432182023355,0.0535952961821246,0.0360377580626127,2.85349573501536e-08,chelsa_bio01,orientation_angle_degrees_median,climate,4.32395404328432e-05,0.0021125604040046,0.0007783117277911,True
0.0436071408284956,0.010441363549254,0.0232795836014344,0.0435523390534318,0.0642475090562996,0.0435522804836976,7.0756972594476105e-09,chelsa_bio01,orientation_angle_degrees_median,climate_soil,2.9618002459929e-05,0.0020258713682591,0.0011327470321924,True
0.0652839294286985,0.0092262315025741,0.0471439931898595,0.0653005433471188,0.0833296534105933,0.0653007299782222,8.38589506633451e-10,chelsa_bio01,corolla_lab_lightness_median,climate,1.4847750598561499e-12,5.07793070470804e-10,5.34519021548214e-11,True
0.0493679478403655,0.0142257284764841,0.0211688195885615,0.0494646043235465,0.0770218373262968,0.0494661385469181,1.26768979949269e-08,chelsa_bio01,corolla_lab_lightness_median,climate_topography,0.0005198226104511,0.0126985237695918,0.0264710397956369,True
0.0751876218712474,0.0111647893487688,0.0532716346715885,0.0751952763494381,0.0970601141588941,0.0751953379920811,1.41849943085091e-10,chelsa_bio01,corolla_lab_lightness_median,climate_soil,1.64662070999426e-11,2.8157214140901804e-09,1.92654623069328e-09,True
-0.031380015357141,0.0088085724189289,-0.0486484278054476,-0.031381751036411,-0.0141017843553554,-0.0313817778251079,4.24625422883629e-11,soil_phh2o_0_30cm,corolla_lab_lightness_median,climate_soil,0.0003674231639678,0.011423520188819,0.0085977020368479,True
0.0628618978263148,0.0161326435790608,0.0310497953857125,0.0629181158466513,0.0943554560280624,0.0629187204843484,3.3754306731928403e-09,chelsa_bio01,corolla_lab_lightness_median,full,9.75665435696476e-05,0.0037075286556466,0.0065857416909512,True
-0.0307196751807523,0.0088410508322461,-0.0480538209749225,-0.0307206639870013,-0.0133799509311701,-0.0307206835323421,3.8417813832135004e-11,soil_phh2o_0_30cm,corolla_lab_lightness_median,full,0.0005114948586802,0.0126985237695918,0.0230172686406118,True
-0.0288860925144941,0.0088925675060329,-0.0463441619579778,-0.0288797671615695,-0.0114637641148472,-0.0288796615157246,1.25096434192464e-10,chelsa_bio01,corolla_lab_chroma_median,climate,0.0011608002373979,0.0233525694817709,0.0059698297923324,True
0.0266451521827551,0.0075474340018389,0.0118349606453381,0.0266485157833789,0.0414362654595254,0.0266485525750045,6.97444435997814e-11,chelsa_bio12,corolla_lab_chroma_median,climate,0.0004149960166036,0.0118273864732033,0.002987971319546,True
0.0254269001027036,0.0077142633938009,0.0102932943860581,0.0254290210299276,0.040548396534105,0.0254290217773331,4.7448054092964195e-11,chelsa_bio12,corolla_lab_chroma_median,climate_topography,0.0009804088813198,0.0209562398382125,0.0264710397956369,True
0.0330230618244173,0.0088592257626184,0.015704251504121,0.0330034674425522,0.0504526969217185,0.0330031720532717,1.2190518475159202e-09,chelsa_bio01,corolla_hue_sin_median,climate,0.0001933627778945,0.0066130070039926,0.0017402650010506,True
0.0526485168441979,0.013418584274806,0.0262534302530284,0.0526666788841209,0.078939969781457,0.0526666376023861,2.8013674950956104e-09,chelsa_bio04,corolla_hue_sin_median,climate,8.72528224346018e-05,0.0037075286556466,0.0010470338692152,True
-0.0296809845745906,0.0089925840090482,-0.0472976919466469,-0.029689116876882,-0.0120188026364874,-0.0296893633161246,2.61632170367516e-10,chelsa_bio01,corolla_hue_cos_median,climate,0.0009647596203779,0.0209562398382125,0.0057885577222678,True
-0.0446776715152276,0.0108574041820129,-0.0659195410394826,-0.0446959639394014,-0.0233322954663434,-0.0446962218516758,7.06603113923076e-10,chelsa_bio01,corolla_hue_cos_median,climate_soil,3.87263942629889e-05,0.0021125604040046,0.0011327470321924,True
0.0453861824407516,0.0086400464355287,0.028403026981148,0.0454006795115937,0.0622879107864903,0.0454010670192929,7.27828528166537e-10,soil_phh2o_0_30cm,corolla_hue_cos_median,climate_soil,1.49639794695675e-07,1.7058936595307e-05,8.75392798969701e-06,True
0.0445985597057305,0.0086138343308136,0.0276925479392141,0.0446037380417956,0.0614757400671602,0.044603930693354,1.0924945599827601e-10,soil_phh2o_0_30cm,corolla_hue_cos_median,full,2.24818455701333e-07,1.9221977962464e-05,3.035049151968e-05,True
