endpoint_id,module,analysis_tier_metadata_only,validation_status,variance_grain,interpretation_boundary,status,n_observations,n_taxa,n_taxa_with_at_least_two,median_observations_per_taxon,total_sum_of_squares,within_taxon_sum_of_squares,fraction_below_taxon_means,fraction_retained_between_taxa,equal_replication_observations_per_taxon,equal_replication_bootstrap_repeats,equal_replication_fraction_median,equal_replication_fraction_low_95,equal_replication_fraction_high_95
orientation_image_vertical_angle,orientation,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,37251,254,199.0,6.0,65801420.48225573,63695898.03047614,0.9680018693160678,0.0319981306839322,2.0,500.0,0.45064656653285334,0.3910481596728429,0.5109977347978644
corolla_lab_lightness,colour,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,40510,253,203.0,6.0,4569937.105319003,3718704.932058706,0.8137321906969928,0.18626780930300724,2.0,500.0,0.335433934536451,0.2819171960450965,0.3907598153506958
corolla_lab_chroma,colour,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,40510,253,203.0,6.0,7501298.8865122935,6304573.31376748,0.8404642194838302,0.1595357805161698,2.0,500.0,0.3375776484787065,0.2803247375354788,0.39291400719057923
corolla_hue_sin,colour,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,40503,253,203.0,6.0,19305.14141123036,16207.270783693853,0.8395313164743571,0.16046868352564292,2.0,500.0,0.28692137298236053,0.23705007055617758,0.3389870347590372
corolla_hue_cos,colour,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,40503,253,203.0,6.0,5402.504215670593,5120.591013618569,0.947818050519183,0.052181949480817,2.0,500.0,0.44974014094800596,0.3934543925054329,0.5045458947623617
visible_floret_fraction,display,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,unexecuted_no_measurement,0,0,,,,,,,,,,,
corolla_white_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,unexecuted_no_measurement,0,0,,,,,,,,,,,
corolla_redmagenta_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,unexecuted_no_measurement,0,0,,,,,,,,,,,
corolla_purple_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,unexecuted_no_measurement,0,0,,,,,,,,,,,
corolla_yellow_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,unexecuted_no_measurement,0,0,,,,,,,,,,,
capitulum_outline_aspect_ratio,shape,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,38511,253,200.0,6.0,771.3966066058009,760.7914577119426,0.9862520151073496,0.013747984892650389,2.0,500.0,0.49240575850390966,0.4090321106221029,0.553288090966322
capitulum_outline_circularity,shape,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,38511,253,200.0,6.0,464.2897181448325,451.87034791065844,0.9732508178647629,0.026749182135237137,2.0,500.0,0.4684689678426631,0.40257331464076695,0.5262759182462163
capitulum_outline_solidity,shape,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,38511,253,200.0,6.0,167.42717321244635,161.7145997312024,0.9658802488769531,0.03411975112304688,2.0,500.0,0.46656149844219985,0.4026661447922297,0.5215104655404719
capitulum_width_profile_cv,shape,primary,frozen_technical,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,38511,253,200.0,6.0,260.05657328686857,253.7789373748981,0.9758604989959412,0.024139501004058816,2.0,500.0,0.4780037351803083,0.4124751576478103,0.5388293653813219
involucre_length_width_ratio,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,405.5775398635775,376.32129757974934,0.9278652306691614,0.07213476933083862,2.0,500.0,0.48827360256942104,0.38921239977326605,0.5732646276264449
involucre_apical_taper_ratio,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,260.0907334164526,244.34801941362787,0.9394722226507862,0.060527777349213774,2.0,500.0,0.5112867833631796,0.39363873128231214,0.5830030305753182
involucre_basal_taper_ratio,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,212.06390157060113,201.03391024374912,0.9479874167872939,0.052012583212706076,2.0,500.0,0.5845519990334291,0.49941389360606014,0.6582187328192636
bract_projection_roughness,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,8.133377274787627,7.3940055940570275,0.9090941369432657,0.09090586305673432,2.0,500.0,0.4946780120745,0.3967332582308,0.579838112304661
bract_projection_p95,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,26.10851266007436,23.869564109178775,0.9142445002499346,0.08575549975006536,2.0,500.0,0.5124058383998643,0.42532385183588256,0.5884962705815527
bract_projection_maximum,armature,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,64.706699886053,58.36904801247374,0.9020557085318874,0.09794429146811257,2.0,500.0,0.5184228931134496,0.4277419490005857,0.5996375282453549
bract_spread_fraction,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,20.592386947242048,18.873013760597104,0.9165044251038017,0.0834955748961983,2.0,500.0,0.46320719986943776,0.36866318291780836,0.5687888477061009
bract_projection_peak_density,armature,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,1.1526677937088357,1.0911512770828242,0.9466311829290595,0.053368817070940544,2.0,500.0,0.5273212381387453,0.45047191428015715,0.6131530296518743
bract_projection_asymmetry,involucre_architecture,candidate,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,2326,127,78.0,2.0,2.2652049851717253,2.1484565143783345,0.9484600857063097,0.051539914293690314,2.0,500.0,0.5409856005910172,0.43559942320590084,0.6057794455323431
involucre_surface_edge_density,indumentum,validation_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,909,85,49.0,2.0,8.78472662373957,7.4358146470118225,0.8464480416405344,0.15355195835946556,2.0,500.0,0.47480493166533,0.3683054127933003,0.5660410956921905
involucre_surface_lbp_entropy,indumentum,validation_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,909,85,49.0,2.0,4.0800577491942125,3.5157410081437646,0.8616890309550405,0.13831096904495954,2.0,500.0,0.5239088858133588,0.4541902392886668,0.5831046482506506
involucre_surface_high_frequency_energy,indumentum,validation_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,909,85,49.0,2.0,57.12543586680657,49.70463328123454,0.8700963507241444,0.12990364927585563,2.0,500.0,0.4840806769741054,0.3714085765687163,0.5936683836075225
involucre_surface_specular_fraction,exudate,validation_only,requires_botanical_calibration,observation_below_taxon_mean,visible_image_variance_not_genetic_variance_or_plasticity,ok,909,85,49.0,2.0,5.869230372867639,5.127568738707346,0.8736356239160663,0.1263643760839337,2.0,500.0,0.5161524267064617,0.5078423499133091,0.5269953146869121
