construct_left,construct_right,within_taxon_rv,among_taxon_rv,delta_among_minus_within,module_left,module_right,same_module,within_taxon_environment_magnitude_similarity,among_taxon_environment_magnitude_similarity
presentation_angle,floral_lightness,0.0216724462142961,0.2028921634696084,0.1812197172553123,presentation,colour,False,0.9927186060290174,0.9652529645982456
presentation_angle,floral_chroma,0.0018394353278882,0.0245239873378525,0.0226845520099642,presentation,colour,False,0.9029394721755816,0.7289747419629042
presentation_angle,floral_hue,0.0148329614282224,0.1962940960670524,0.18146113463883,presentation,colour,False,0.9377925038093023,0.8368971302747297
presentation_angle,head_elongation,0.0023426014339578,0.3396170165357066,0.3372744151017487,presentation,head_form,False,0.9460575861359766,0.6044660679313281
presentation_angle,head_compactness,0.0012362756697155,0.0001731839217982,-0.0010630917479173,presentation,head_form,False,0.8070136573615226,0.8476257752808585
presentation_angle,involucre_form,0.0078723392657619,0.099050464553674,0.0911781252879121,presentation,involucre,False,0.8695857418273035,0.8970663365219711
presentation_angle,projection_prominence,0.0027977851724397,0.0031743073629527,0.0003765221905129,presentation,involucre,False,0.9738000002634818,0.9182977392599264
presentation_angle,projection_pattern,0.0010604566223368,0.0085688780200995,0.0075084213977627,presentation,involucre,False,0.7614176174543456,0.803567368737597
floral_lightness,floral_chroma,0.0493549836333697,0.1878295065655059,0.1384745229321361,colour,colour,True,0.9267690978379202,0.7443341404689929
floral_lightness,floral_hue,0.1843361025279266,0.4658055557773889,0.2814694532494622,colour,colour,True,0.9578352271687308,0.8988945043891717
floral_lightness,head_elongation,2.325620580840909e-05,0.0310276657947256,0.0310044095889172,colour,head_form,False,0.9653419788066068,0.7233551932774852
floral_lightness,head_compactness,0.0013168436363427,0.0157745258304008,0.0144576821940581,colour,head_form,False,0.8119505069305364,0.9419232992207784
floral_lightness,involucre_form,0.0014034962729742,0.0469551478457148,0.0455516515727406,colour,involucre,False,0.8855966866405325,0.936310689609967
floral_lightness,projection_prominence,0.0004641507185784,0.0922230642133895,0.0917589134948111,colour,involucre,False,0.9675917256562492,0.904552746377791
floral_lightness,projection_pattern,0.0006874964086537,0.136478583496912,0.1357910870882582,colour,involucre,False,0.7909203602484118,0.8881083173807572
floral_chroma,floral_hue,0.0339161235430711,0.2903307647932454,0.2564146412501742,colour,colour,True,0.9432288601676684,0.8974208138286464
floral_chroma,head_elongation,0.0036320381767766,0.0036730418934111,4.100371663448652e-05,colour,head_form,False,0.8520403153809288,0.8778250584184064
floral_chroma,head_compactness,0.0004236996197185,0.0044674097982774,0.0040437101785589,colour,head_form,False,0.6854593561092434,0.7732994003173734
floral_chroma,involucre_form,0.0117729340977193,0.0528201029262369,0.0410471688285175,colour,involucre,False,0.9647556251078868,0.8676091705329927
floral_chroma,projection_prominence,0.0001663352769288,0.3345155786072055,0.3343492433302766,colour,involucre,False,0.8727490273583614,0.8949594976608745
floral_chroma,projection_pattern,0.0007547820119031,0.0022048635419715,0.0014500815300683,colour,involucre,False,0.7289040306230953,0.8832763907200265
floral_hue,head_elongation,0.0007525914768121,0.03559758011767,0.0348449886408578,colour,head_form,False,0.8813079277864323,0.9329668060036728
floral_hue,head_compactness,0.0077143493846285,0.0287840369380225,0.021069687553394,colour,head_form,False,0.7664905939464552,0.9312990787176022
floral_hue,involucre_form,0.0012326547976786,0.132409904961491,0.1311772501638123,colour,involucre,False,0.947267297605699,0.9879885632092916
floral_hue,projection_prominence,0.0067207835626309,0.1014000462810041,0.0946792627183732,colour,involucre,False,0.9073733122603822,0.9071322817415458
floral_hue,projection_pattern,0.0041538120733959,0.0426387348565043,0.0384849227831084,colour,involucre,False,0.7834893959300092,0.98377132150087
head_elongation,head_compactness,0.0021332056476589,0.0183062262086275,0.0161730205609686,head_form,head_form,True,0.8584511674790632,0.8471843712852838
head_elongation,involucre_form,0.002472688263452,0.0886674972775085,0.0861948090140565,head_form,involucre,False,0.7782168828232529,0.8683417301593539
head_elongation,projection_prominence,0.011928901535487,0.043785784690593,0.031856883155106,head_form,involucre,False,0.9382712994870076,0.7503414448481363
head_elongation,projection_pattern,5.627865732561027e-06,0.0161704872762651,0.0161648594105326,head_form,involucre,False,0.8372613764749303,0.9245895161799884
head_compactness,involucre_form,0.0007998454383602,0.0198128680884911,0.0190130226501308,head_form,involucre,False,0.7053639635243498,0.9385433662925956
head_compactness,projection_prominence,7.227881423576627e-05,0.0025155688286715,0.0024432900144358,head_form,involucre,False,0.8576981184232974,0.8824650750054851
head_compactness,projection_pattern,0.0021052054719003,0.0099101098506686,0.0078049043787683,head_form,involucre,False,0.958623730438418,0.9243370276638012
involucre_form,projection_prominence,0.0267483766608936,0.0255066556689868,-0.0012417209919067,involucre,involucre,True,0.8717329616153987,0.9420971905677682
involucre_form,projection_pattern,0.0258633996967126,0.0489557591004517,0.023092359403739,involucre,involucre,True,0.7657673851475261,0.9711481147998544
projection_prominence,projection_pattern,0.3507383835026683,0.0999304506077995,-0.2508079328948687,involucre,involucre,True,0.8439379407124942,0.888959939201805
