scale,predictor,tested_constructs,fdr_constructs,supported_modules,robust_constructs,robust_names
among_taxon,chelsa_bio01,9,1,colour,0,
among_taxon,chelsa_bio04,9,2,colour|involucre,0,
among_taxon,chelsa_bio12,9,1,presentation,1,presentation_angle
among_taxon,chelsa_bio15,9,1,colour,0,
among_taxon,chelsa_gsp,9,2,colour|presentation,0,
among_taxon,chelsa_npp,9,2,colour,1,floral_chroma
among_taxon,chelsa_rsds_mean,9,2,colour,1,floral_chroma
among_taxon,chelsa_sfcwind_mean,9,1,colour,0,
among_taxon,chelsa_vpd_mean,9,0,,0,
within_taxon,chelsa_bio01,9,1,colour,0,
within_taxon,chelsa_bio04,9,2,colour|head_form,0,
within_taxon,chelsa_bio12,9,1,colour,0,
within_taxon,chelsa_bio15,9,1,colour,0,
within_taxon,chelsa_gsp,9,0,,0,
within_taxon,chelsa_npp,9,1,colour,0,
within_taxon,chelsa_rsds_mean,9,1,colour,0,
within_taxon,chelsa_sfcwind_mean,9,1,colour,0,
within_taxon,chelsa_vpd_mean,9,1,colour,0,
