module,n_species,median_visible_variation,median_noise_adjusted_association_energy
orientation,101,0.6301664881457204,-0.0012003324842962946
colour,101,0.5558054071414766,0.004039121310251003
shape,101,0.6665994574883936,2.110805364365926e-05
