trait,PC1,PC2,PC3
orientation_angle_degrees_median,-0.11703461944734313,0.24244690353000414,-0.5930358153056127
corolla_lab_lightness_median,-0.3015612702331052,0.45102464810271703,0.07121635097648873
corolla_lab_chroma_median,0.2259454124192572,-0.45490069806286604,-0.26867982642700183
corolla_hue_sin_median,-0.26558790231298407,0.4988038807551307,0.1707367872069011
corolla_hue_cos_median,0.39658250183527877,0.0375880943636665,0.27983303122555103
shape_aspect_ratio_median,-0.12012279960682759,-0.16393897252152512,0.6732272811575958
shape_circularity_median,-0.44071152481120224,-0.3818525538147722,-0.007822299963790979
shape_solidity_median,-0.440768418873112,-0.2952521253227717,0.041385213608812886
shape_width_cv_median,0.46213073904823065,0.1441605608559096,0.09263601751976946
